n,brier,logloss,bucket,mean_fv,mean_label,variant,scope
251769,0.0016767526006614343,0.011736289257301396,"(0.0, 0.02]",0.0010007078691889155,0.0016840834256798892,clock,extrap
13942,0.023099685869480083,0.11244397902133371,"(0.02, 0.05]",0.03310050363768696,0.023597762157509684,clock,extrap
11749,0.043683383388573124,0.18890682980217324,"(0.05, 0.1]",0.07201965567643875,0.045025108519874034,clock,extrap
13894,0.08731690285358264,0.32108219643741087,"(0.1, 0.2]",0.1460315574600021,0.0936375413847704,clock,extrap
17517,0.17658218758490582,0.5373356610941645,"(0.2, 0.4]",0.2933225593738596,0.2309185362790432,clock,extrap
12504,0.24512119230279386,0.6833467720063005,"(0.4, 0.6]",0.4961224303561477,0.47448816378758796,clock,extrap
16983,0.217862716967212,0.626895138560084,"(0.6, 0.8]",0.7090260815297234,0.6702584937879056,clock,extrap
14113,0.12711231026971961,0.4196330603505317,"(0.8, 0.9]",0.8538299707747132,0.8482958973995607,clock,extrap
11332,0.07426884939823135,0.28070701141495086,"(0.9, 0.95]",0.9269371922627228,0.9191669608189199,clock,extrap
12519,0.04975469353774046,0.20948586075345732,"(0.95, 0.98]",0.9670008218902983,0.9478392842878824,clock,extrap
225011,0.003150431924509567,0.019074612750841668,"(0.98, 1.0]",0.9990114470605804,0.9968134891183098,clock,extrap
252497,0.0013948458230612533,0.009017252640004747,"(0.0, 0.02]",0.0010337401784407982,0.001401996855408183,seasonal,extrap
14066,0.01773884946521769,0.0931399482169926,"(0.02, 0.05]",0.03293849090510844,0.017844447604151856,seasonal,extrap
12101,0.039823581759907425,0.17777773801025534,"(0.05, 0.1]",0.0723114588717428,0.040409883480704074,seasonal,extrap
13942,0.08592969710257045,0.317624144499495,"(0.1, 0.2]",0.14597498490747063,0.09173719695882944,seasonal,extrap
18167,0.17675960089012138,0.5378491311276656,"(0.2, 0.4]",0.29308065728025523,0.2306379699455056,seasonal,extrap
12829,0.24550136556252178,0.6841156126743915,"(0.4, 0.6]",0.4966932131828546,0.4720554992594902,seasonal,extrap
17354,0.21776570474144552,0.6267290144871779,"(0.6, 0.8]",0.7088594547876332,0.671257347009335,seasonal,extrap
14244,0.12681792819665386,0.4193010514307808,"(0.8, 0.9]",0.853447647580716,0.8491294580174108,seasonal,extrap
11603,0.06861111300669688,0.26365036973100037,"(0.9, 0.95]",0.9270811510796451,0.9257950530035336,seasonal,extrap
13411,0.040851985174683116,0.17691051757309403,"(0.95, 0.98]",0.9669108000793608,0.957348445306092,seasonal,extrap
223178,0.00279115946088658,0.01695277029452777,"(0.98, 1.0]",0.9989637781269561,0.9971771411160598,seasonal,extrap
265158,0.0024951978937756717,0.015698753687037655,"(0.0, 0.02]",0.001044257130945448,0.0025192526719917934,clock,tte<1d
13949,0.040600193051383134,0.17515429947400285,"(0.02, 0.05]",0.0327676020498883,0.042440318302387266,clock,tte<1d
11210,0.06609868672341261,0.25546313196841236,"(0.05, 0.1]",0.07234608226104815,0.07145405887600356,clock,tte<1d
13115,0.1113475792454843,0.38162682863611336,"(0.1, 0.2]",0.14658560545202792,0.12764010674799847,clock,tte<1d
16227,0.1718681952532597,0.5275628647109633,"(0.2, 0.4]",0.2907714103896175,0.2167375362050903,clock,tte<1d
12141,0.24569955178046063,0.6845066141972262,"(0.4, 0.6]",0.5008970594366501,0.4572934684128161,clock,tte<1d
16244,0.2245545796299511,0.6412333970877319,"(0.6, 0.8]",0.7054489832109204,0.6531642452597882,clock,tte<1d
13048,0.16224352704830336,0.5090822209740788,"(0.8, 0.9]",0.8547213421802738,0.799662783568363,clock,tte<1d
10718,0.09747634594177544,0.34984405697429216,"(0.9, 0.95]",0.9276036575060044,0.8918641537600298,clock,tte<1d
13368,0.040226383425963824,0.17383767430739186,"(0.95, 0.98]",0.9671288036226454,0.9579593058049073,clock,tte<1d
215631,0.00259706702831181,0.01622815381401026,"(0.98, 1.0]",0.9987707234457035,0.997379783055312,clock,tte<1d
263879,0.002177276025553203,0.01276607252500514,"(0.0, 0.02]",0.0011213096023575517,0.002201766718837043,seasonal,tte<1d
14748,0.031831501056783555,0.1436723530664258,"(0.02, 0.05]",0.03271728543368069,0.03302142663411988,seasonal,tte<1d
11725,0.05655182023014855,0.2274538685238073,"(0.05, 0.1]",0.07256686301468215,0.060127931769722816,seasonal,tte<1d
13568,0.10539795520748689,0.36628836713042884,"(0.1, 0.2]",0.1464822269524505,0.11954599056603774,seasonal,tte<1d
17510,0.1707950527104808,0.5254929757652608,"(0.2, 0.4]",0.2906259383362855,0.2125642490005711,seasonal,tte<1d
12911,0.24571560017409194,0.68454015727242,"(0.4, 0.6]",0.5015138964669645,0.45511579273487723,seasonal,tte<1d
17074,0.2234319126924124,0.638980611472772,"(0.6, 0.8]",0.7052625339712653,0.6573152161180743,seasonal,tte<1d
13591,0.149476027269367,0.47698044599680545,"(0.8, 0.9]",0.8542909168425048,0.8178206165845044,seasonal,tte<1d
11636,0.08912563759592432,0.32367106274034435,"(0.9, 0.95]",0.9277383198352493,0.9013406668958405,seasonal,tte<1d
14344,0.028741940341015734,0.13250064662076858,"(0.95, 0.98]",0.9670402440807322,0.9703011712214166,seasonal,tte<1d
211970,0.0020029378843977323,0.012842938050275922,"(0.98, 1.0]",0.9986915861566638,0.9979808463461811,seasonal,tte<1d
883746,0.0009815261739324983,0.008361398214875424,"(0.0, 0.02]",0.003053713607105909,0.0009640779137897088,clock,all
168472,0.011830636231346572,0.07165546650791649,"(0.02, 0.05]",0.033156577330890655,0.01150339522294506,clock,all
143187,0.035825231361202796,0.16540862706010195,"(0.05, 0.1]",0.07255104395670359,0.03581330707396621,clock,all
160138,0.08585172746970898,0.31653179236753776,"(0.1, 0.2]",0.1454230179613776,0.09232037367770297,clock,all
200176,0.17498858574165477,0.5344565056136644,"(0.2, 0.4]",0.29485395473127657,0.22191471505075533,clock,all
162448,0.24494505675005177,0.6829848548629043,"(0.4, 0.6]",0.5004444152942378,0.44428986506451296,clock,all
203292,0.22076884695946347,0.633411964308543,"(0.6, 0.8]",0.7061695215318647,0.6656533459260571,clock,all
165694,0.14171216109666515,0.45695129865763956,"(0.8, 0.9]",0.8545873421489707,0.8283341581469456,clock,all
146553,0.07639979723594119,0.28656271946458994,"(0.9, 0.95]",0.9274460276707023,0.9165080209889938,clock,all
160768,0.039786705933011875,0.1730415072336094,"(0.95, 0.98]",0.9665411169100073,0.9585054239649682,clock,all
713062,0.005687157127239666,0.03313580895622749,"(0.98, 1.0]",0.9968297859806539,0.9942431373428958,clock,all
883461,0.0008415855641504647,0.007285695968146225,"(0.0, 0.02]",0.003077448992646095,0.0008228999355942142,seasonal,all
169309,0.011145460882749493,0.06907736052768905,"(0.02, 0.05]",0.03312031996944698,0.010779108021428277,seasonal,all
143808,0.03443900577708183,0.1612564728627742,"(0.05, 0.1]",0.07258637002666908,0.03419142189586115,seasonal,all
160067,0.08619773593210897,0.31743115725785614,"(0.1, 0.2]",0.14547360520470778,0.09276115626581369,seasonal,all
200912,0.17531753204865125,0.5351921207812448,"(0.2, 0.4]",0.29486064514040267,0.2224506251493191,seasonal,all
162738,0.24500814803593296,0.6831121754374687,"(0.4, 0.6]",0.5005299797757036,0.4441986505917487,seasonal,all
203993,0.221249454251556,0.634475085063063,"(0.6, 0.8]",0.706293394055999,0.6647286916707926,seasonal,all
165201,0.14129546115243777,0.45598581652802334,"(0.8, 0.9]",0.8545609177192173,0.8290022457491177,seasonal,all
147897,0.0756436775291864,0.28425037785770046,"(0.9, 0.95]",0.9274850655657745,0.917381691312197,seasonal,all
162272,0.037812351118801144,0.16586620204637093,"(0.95, 0.98]",0.9665439142402402,0.9606216722539933,seasonal,all
709943,0.005723909989272033,0.03363725935371968,"(0.98, 1.0]",0.9968044803643925,0.9942079857115289,seasonal,all
