hour_of_week,BTC,ETH,SOL,XRP
0,1.9401278169085343,2.021236945917761,2.100428373613356,2.0622436841448795
1,1.631264848060409,1.6543849855870525,1.6881980711545777,1.5455980443674995
2,1.1290893826272117,1.1578939374295445,1.165064235615768,1.150798100426532
3,1.0947569743024916,1.102625065527567,1.0435576402261448,1.0447883646849243
4,0.8223938447929128,0.7319102934223168,0.779363096534675,0.7737240958243227
5,0.7966252945656228,0.8190389047052223,0.7686872641193649,0.8421275179324633
6,0.9081673764339053,0.9456462669209982,1.117073147379814,1.1373933882329743
7,0.7756991696692052,0.8148403421093718,0.8458954058508305,0.8466231394316059
8,0.8316218013814836,0.7744560458309048,0.9007409762927706,0.879150853185715
9,0.8033030646911845,0.9310152338364349,0.822415085105511,0.9356025484977709
10,0.6802071385561698,0.6139455435778047,0.6470712393621962,0.6902324757982377
11,0.8839484270243981,0.8900327239044352,0.8996754191056503,0.9526273338383108
12,0.8130301057501683,0.8268653134840914,0.7749290156187141,0.861253587931871
13,1.4082573036644728,1.4107505186596876,1.3135207703446468,1.3607640267845313
14,2.544118773838362,2.438608366806001,2.256706798937156,2.2462980653575353
15,2.5094290160739634,2.3581936829116716,2.2096409067077727,2.1962140131480496
16,1.6706640577586371,1.6381623502556466,1.706185511983321,1.6023256176487854
17,1.2331603980862615,1.2890296811637787,1.3139813633211843,1.2063249595676828
18,0.9941869222462645,1.0096187908436984,1.0569392989001456,0.9716506803678645
19,0.9697612621124321,1.0287233926076809,0.9706882758002107,1.0557296364725723
20,0.9206987699685605,1.0577664690487552,0.9285599314141211,1.3025080622314107
21,0.7421561146653777,0.9344590707148439,0.7524335264158909,0.9705630106044333
22,0.692328597398571,0.75516205222774,0.7075208450386187,0.6788811053741565
23,0.5691951902431293,0.6451058549319313,0.592405555936038,0.5649922334623974
24,0.7810068010431445,0.8533375832482413,0.8971641117251696,0.8969617478039951
25,1.1529653252978562,1.0783827179791199,1.051687976565735,1.0392441711846463
26,0.885130497370941,0.8967219727658096,0.9249498240803338,0.910127459994957
27,0.8157869026911412,0.880138185208672,0.844475610962504,0.8709441692642668
28,0.6723923045926844,0.672007571373989,0.6980580728713479,0.6409483671972747
29,0.7507294247845,0.7658196324706872,0.8526825235868322,0.7991717157115097
30,0.6637438980379614,0.8258511554622995,0.8482117893578223,0.8824980189979549
31,0.6275040243733222,0.7166216647160837,0.7940600760582368,0.8462441345586051
32,0.7139426102672017,0.8072632217539387,0.8011605144636157,0.8421050942339579
33,0.6068636406232648,0.6135406707770631,0.6360170402105211,0.604028919504667
34,0.5808245531382786,0.5691660445000739,0.6508429497303171,0.5488956738192352
35,0.48888519266562924,0.47207819337221985,0.526719922496285,0.4550541730781052
36,0.6879565739550754,0.704443877717501,0.6762725502506748,0.671882585376837
37,1.4270633572648967,1.3644194645649361,1.4098405466014616,1.2212037414132446
38,2.905074308649121,2.751932446711848,2.4208122046346414,2.145352036724305
39,2.599553042890285,2.473063266646143,2.2616402609080763,2.053669796724981
40,1.9987954009493416,1.987257536838568,2.0000053920059466,1.747044633215513
41,1.590268827126836,1.5654366996088018,1.4906953648038168,1.4086156597136759
42,1.4573912945998477,1.5606143282472473,1.2734437819471778,1.220072773449039
43,1.289891409831486,1.2374326807827623,1.0988718458901874,1.0207204156785257
44,1.2285058964183542,1.4696298104304133,1.3260705038596854,1.4878230041818998
45,1.0768953934508625,1.3603740203915173,1.2503276312878284,1.2609284355482473
46,1.2829086821970386,1.3480964273228462,1.1487599263359216,1.0581647470913917
47,0.7923403588787982,0.7790669200280644,0.7924698881628718,0.6004872410973492
48,0.8547061692050744,0.8021322086820408,0.9400241761303445,0.7728925621796581
49,1.1339796404142375,1.0372192757213636,1.2156871933190057,1.0984976926247774
50,0.8180432389788131,0.7787154195185154,0.837047409443429,0.7359030494142796
51,0.582003889840687,0.5874237856049422,0.7244944747023702,0.54319930436096
52,0.5574573926219412,0.5982921896958145,0.7081834671759837,0.5334261429557297
53,0.6256923594293079,0.5929678442022893,0.6018814192484988,0.5380832576995719
54,0.5234953655542114,0.48092863533028374,0.5878059165381437,0.4612398032437363
55,0.5268284315657752,0.44362797418118366,0.5107721222111483,0.45278966131169734
56,0.7098105369495868,0.7949199938887033,0.745046539293958,0.5889151583063331
57,0.6862645544582037,0.6360974751400237,0.7518051308078393,0.6337782031890175
58,0.49669968539217074,0.5433833472182396,0.5477249874914848,0.4203298025180704
59,0.6685508549212998,0.6818885047247426,0.7817801329089421,0.5405678074650956
60,0.8717431106382103,0.8546030231786692,0.8467196600890978,0.7003389852404666
61,1.3849073290882634,1.2999603508542286,1.2943245836155381,1.0030217095730483
62,2.7040194011832237,2.6814666767406945,2.448808388092315,2.0476307901910453
63,2.4965445198595226,2.4153937756028867,2.0825871258933244,1.857141821311221
64,1.8354251587579398,1.8086216298456383,1.6044603611939212,1.4378308626358571
65,1.6237692222296956,1.6036896013126607,1.495320078131592,1.262635798214091
66,1.7842066348679524,1.923632605274511,1.7461518166901473,1.4894945043711623
67,1.460150757120408,1.632824325913623,1.3774231302638948,1.3662054133843637
68,1.1350800426121215,1.2099796775903964,1.1426480440118343,1.1903548312725463
69,0.9543713164061566,1.0375280947161232,1.0784543308008199,0.9761461165624044
70,0.9641230386697915,1.0049432666166256,1.0457754552672955,0.9205698085773556
71,0.7112630993903556,0.7978475621413426,0.7242776790464496,0.7296187959666144
72,0.8151338087840692,0.8384339880650958,0.8433831851071911,0.7850783822635858
73,1.0993737511475725,1.0462187771167346,1.0116666022811223,0.9107752152099097
74,0.9672212537525351,0.9529348722637033,1.0494621342700465,0.8490398200898017
75,0.7722787161090465,0.8249514673050292,0.8178206314024804,0.7411391506054611
76,0.8146100041422829,0.8684198176818574,0.8371681144439503,0.8603663883366708
77,0.6548610097184863,0.6839241586296083,0.7293619959027081,0.6343392421410701
78,0.5924484206464093,0.6797893772641954,0.612584426399012,0.5906992159581472
79,0.6043123951397303,0.6005587341604782,0.6155789752760318,0.5538746904782724
80,0.581920226059268,0.5695584625903378,0.5782549278524824,0.5770196414621593
81,0.7294694133423375,0.7449775326614588,0.7783030818284615,0.730939365778318
82,0.49305483468468353,0.5166237912873767,0.5458921079902308,0.6032060052328369
83,0.5512010120369621,0.5254560109366511,0.5521397803753105,0.6398368137444076
84,0.8076038899694049,0.9529029773010036,0.9718162854366231,0.8484200475805849
85,1.4026283562286685,1.4476134261088551,1.399921915320294,1.2015142633908473
86,2.470405451602795,2.2628665673310433,2.088644484549097,1.9744683014423752
87,2.9487156575745503,2.684071025099016,2.4511247115444568,2.395037340727875
88,2.0858920624227193,2.019953096000661,1.926625638665432,1.937175772434736
89,2.0908896186153325,1.983058093324925,1.904497149069077,1.9110668089066165
90,1.5872467659879157,1.5493684699678003,1.502296012181301,1.6177171947584694
