variant,scope,n,brier,logloss
incumbent(panel),all,3115584,0.05988202257702744,0.19569231394006034
incumbent(panel),extrap,608751,0.026769708654085893,0.0917046433575126
incumbent(panel),tte<1d,608573,0.028112175792232057,0.09526921611264098
repro_clock,all,3115584,0.05988202257702744,0.19569231394006034
repro_clock,extrap,608751,0.02676970865408589,0.09170464335751259
repro_clock,tte<1d,608573,0.028112175792232057,0.09526921611264098
seasonal_voltime,all,3115584,0.05980855740033412,0.19528320920814957
seasonal_voltime,extrap,608751,0.026603260605532742,0.08998530979443914
seasonal_voltime,tte<1d,608573,0.02796782260791392,0.09357309104136761
