variant,band,n,n_events,hit,ev,ev_ev,t
incumbent,tte<1d,611,424,0.46317512274959083,0.045446241454515465,0.038446988692516185,2.9036760836358444
incumbent,1-3d,1205,527,0.4340248962655602,0.02582888168318998,0.02811650206682442,2.840234738098095
incumbent,3-8d,1445,482,0.4269896193771626,0.0411080724310706,0.028610938188749296,2.6032853227076607
incumbent,extrap,587,401,0.3969335604770017,0.046054680550358454,0.03544838444217249,2.434117180622109
seasonal,tte<1d,609,409,0.3497536945812808,0.045139883301159804,0.030496648669139842,2.3343604654670833
seasonal,1-3d,1186,532,0.3946037099494098,0.022899326265121814,0.019858720133423876,1.972624356330725
seasonal,3-8d,1443,483,0.44282744282744285,0.044527852106438386,0.03172058074594107,2.887817749566714
seasonal,extrap,571,390,0.3117338003502627,0.0403969091060999,0.03239143377384525,2.304516933543823
