n,brier,logloss,band,mean_fv,mean_label,variant
208469,0.02030337640275348,0.07315725061766978,0-8h,0.4486877777790831,0.44503499321242007,clock
400104,0.03218084943689747,0.10679036894983118,8h-1d,0.45382691952967136,0.4461415032091656,clock
1164470,0.054810782617386186,0.17640081407708927,1-3d,0.4665175100865726,0.44990682456396475,clock
1342541,0.07868187879234356,0.25794676930459665,3-8d,0.4850410426362007,0.45738565898546113,clock
208469,0.01994473967684269,0.06848145487920822,0-8h,0.448849610868086,0.44503499321242007,seasonal
400104,0.03214814591274839,0.10664676263447642,8h-1d,0.4539338839399895,0.4461415032091656,seasonal
1164470,0.05476599153413643,0.17636563758442025,1-3d,0.4665662783606899,0.44990682456396475,seasonal
1342541,0.07861567626600656,0.25779673868084135,3-8d,0.4850467319631471,0.45738565898546113,seasonal
