n,n_events,ev_mean,ev_ev,se,t,hit,bucket
850,341,0.021517971512325058,0.028009011781368266,0.012427160012589152,2.253854601774995,0.5517647058823529,<5m
747,342,0.016336246953436072,0.0040797739711823265,0.012672592520733276,0.3219368068931059,0.5020080321285141,5-30m
923,411,0.03432328464058419,0.025776671032833424,0.012004445817403196,2.1472603921010855,0.4409534127843987,30m-2h
506,321,0.007591133833365994,-0.001157520832544435,0.015100802817771005,-0.07665293339121251,0.4367588932806324,2h-4h
