asset,event,slug,ts,T_pm,bid,ask,fv,gap,label,delta,ret_T,S_bin,tte_d,covd,L_bid+1c,ft_bid+1c,L_mid-1c,ft_mid-1c,L_ask-1c,ft_ask-1c,chase_ft,chase_L,chase_state
BTC,2025-11-17,bitcoin-above-100k-on-november-17,1763074800,1763398860,0.46,0.5,0.49506369301612685,0.025063693016126876,0,8.634220306487268,-0.05777900803282237,99851.82,3.7506944444444446,True,0.47,1763078935.861,0.47,1763078935.861,0.49,1763078935.861,1763078935.861,0.48,chased
BTC,2025-11-18,bitcoin-above-100k-on-november-18,1763138700,1763485260,0.24,0.29,0.2824214505348295,0.03242145053482948,0,6.405061894086046,-0.037835939885351846,97111.96,4.011111111111111,True,0.25,,0.255,,0.28,,,,cancelled_gap
BTC,2025-11-19,bitcoin-above-100k-on-november-19,1763138700,1763571660,0.26,0.31,0.3019495018850401,0.03194950188504009,0,5.911157881776978,-0.07550057857269592,97111.96,5.011111111111111,True,0.27,,0.275,,0.3,,,,cancelled_gap
BTC,2025-11-19,bitcoin-above-100k-on-november-19,1763316900,1763571660,0.11,0.12,0.1472530775024789,0.027253077502478906,0,4.7813340660716666,-0.05544789931837131,95184.0,2.948611111111111,True,0.12,1763318846.065,0.105,1763327829.943,0.11,1763327829.943,,,cancelled_gap
BTC,2025-11-06,bitcoin-above-100k-on-november-6,1762281900,1762448460,0.601,0.634,0.6402677526244254,0.02926775262442538,1,8.912272114633579,-0.0027854609290575354,101266.0,1.9277777777777778,False,0.611,,0.6075,,0.624,,,,na
BTC,2025-11-07,bitcoin-above-100k-on-november-7,1762297200,1762534860,0.587,0.636,0.6229269260365065,0.02592692603650648,1,7.675604035405685,-0.0024434612979272437,101295.71,2.7506944444444446,False,0.597,,0.6015,,0.626,,,,na
BTC,2025-11-07,bitcoin-above-100k-on-november-7,1762441200,1762534860,0.771,0.797,0.8158507557342667,0.03485075573426666,1,10.976180149601364,-0.010596953577278296,102125.0,1.0840277777777778,False,0.781,,0.774,,0.787,,,,na
BTC,2025-11-07,bitcoin-above-100k-on-november-7,1762528500,1762534860,0.841,0.879,0.9404698601483363,0.08946986014833636,1,16.378549097973657,-0.0010717817803930208,101156.86,0.07361111111111111,False,0.851,,0.85,,0.869,,,,na
BTC,2025-11-08,bitcoin-above-100k-on-november-8,1762450200,1762621260,0.65,0.675,0.6911926407320811,0.031192640732081056,1,10.22508360623319,0.004227873535712494,101432.12,1.979861111111111,False,0.66,,0.6525,,0.665,,,,na
BTC,2025-11-08,bitcoin-above-100k-on-november-8,1762545600,1762621260,0.94,0.96,0.9754760246104495,0.02547602461044951,1,4.5526379465289155,-0.01494134309543272,103395.25,0.8756944444444444,False,0.95,,0.94,,0.95,,,,na
BTC,2025-11-09,bitcoin-above-100k-on-november-9,1762670700,1762707660,0.87,0.89,0.9160396266159204,0.03603962661592042,1,11.91759249924805,0.019010676572370135,101944.35,0.4277777777777778,False,0.88,,0.87,,0.88,,,,na
BTC,2025-10-23,bitcoin-above-100k-on-october-23,1760688900,1761235260,0.76,0.8,0.7956603716530848,0.025660371653084768,1,4.380762882093919,0.04435885654502604,105146.19,6.323611111111112,False,0.77,,0.77,,0.79,,,,na
BTC,2025-10-24,bitcoin-above-100k-on-october-24,1761086700,1761321660,0.935,0.977,0.971402646250612,0.02640264625061206,1,2.3229616555822297,0.008446972731638703,109167.44,2.7194444444444446,False,0.945,,0.946,,0.967,,,,na
BTC,2025-10-26,bitcoin-above-100k-on-october-26,1761087600,1761494460,0.908,0.952,0.9438716773035613,0.025871677303561214,1,2.7610928803658163,0.04158115886799095,109066.98,4.709027777777778,False,0.918,,0.92,,0.942,,,,na
BTC,2025-10-30,bitcoin-above-100k-on-october-30,1761282900,1761840060,0.91,0.95,0.950033813557097,0.030033813557097,1,2.007781557794807,-0.032106159227649936,111135.1,6.448611111111111,False,0.92,,0.92,,0.94,,,,na
