book,policy,n,n_events,ev_ev,t,mean_days,ev_per_dollar_day,exit_rate
S1_taker,hold,340,166,0.08146810762632561,3.8260133143370925,4.5624897875817,0.042416594767172994,0.7647058823529411
S1_taker,exitpol,340,166,0.051256789312685555,4.0697831775868405,2.2528278571622757,0.05519254515836615,0.7647058823529411
S2_maker_bid+1c,hold,3026,585,-0.025731932889031427,-3.1169005819703206,2.638010450811325,-0.007100470277249711,0.8251817580964971
S2_maker_bid+1c,exitpol,3026,585,-0.012850204409587571,-2.678718918098116,0.9581115699355426,-0.002363415463116464,0.8251817580964971
