asset,event,slug,t0,P,label,exited,exit_px,days_hold,days_exitpol,ev_hold,ev_exitpol
BTC,2025-10-21,bitcoin-above-110k-on-october-21,1760751900,0.283797,1,False,,3.5944444444444446,3.5944444444444446,0.2504567013600944,0.2504567013600944
ETH,2025-10-21,ethereum-above-3900-on-october-21,1760751900,0.437052,1,False,,3.5944444444444446,3.5944444444444446,0.25840496296348814,0.25840496296348814
ETH,2025-10-21,ethereum-above-4000-on-october-21,1760751900,0.283797,1,False,,3.5944444444444446,3.5944444444444446,0.43525257024856334,0.43525257024856334
ETH,2025-10-21,ethereum-above-3800-on-october-21,1760751900,0.5970519999999999,1,False,,3.5944444444444446,3.5944444444444446,0.11582270735397454,0.11582270735397454
BTC,2025-10-21,bitcoin-above-108k-on-october-21,1760751900,0.4168,1,False,,3.5944444444444446,3.5944444444444446,0.03600797677929579,0.03600797677929579
ETH,2025-10-23,ethereum-above-3800-on-october-23,1760772600,0.5871569999999999,1,False,,5.354861111111111,5.354861111111111,0.4290794818994774,0.4290794818994774
ETH,2025-10-22,ethereum-above-3800-on-october-22,1760772600,0.5970519999999999,1,False,,4.354861111111111,4.354861111111111,0.46719775415713916,0.46719775415713916
ETH,2025-10-23,ethereum-above-3900-on-october-23,1760772600,0.457248,0,False,,5.354861111111111,5.354861111111111,-0.43995591831658937,-0.43995591831658937
BTC,2025-10-22,bitcoin-above-104k-on-october-22,1760789700,0.7437969999999999,1,False,,4.156944444444444,4.156944444444444,0.1781115547344113,0.1781115547344113
ETH,2025-10-23,ethereum-above-3900-on-october-23,1760859000,0.457248,0,False,,4.354861111111111,4.354861111111111,-0.45027050655790846,-0.45027050655790846
ETH,2025-10-22,ethereum-above-3800-on-october-22,1760859000,0.5970519999999999,1,False,,3.354861111111111,3.354861111111111,0.46604850059691455,0.46604850059691455
ETH,2025-10-23,ethereum-above-3800-on-october-23,1760859000,0.5871569999999999,1,False,,4.354861111111111,4.354861111111111,0.41941990405791246,0.41941990405791246
ETH,2025-10-23,ethereum-above-3400-on-october-23,1760896800,0.9251520000000001,1,False,,3.917361111111111,3.917361111111111,0.09818749528111419,0.09818749528111419
BTC,2025-10-23,bitcoin-above-106k-on-october-23,1760900400,0.724413,1,False,,3.8756944444444446,3.8756944444444446,0.2435736244951621,0.2435736244951621
