asset,event,ts,side,edge,nfill,both,ev_raw,ev_hedged
BTC,2025-11-15,1762967700,short,0.027115561872063876,0,0,0.0,0.0
BTC,2025-11-15,1762992000,long,0.022600343699057612,0,0,0.0,0.0
SOL,2025-11-17,1763140500,long,0.07254872113602495,0,0,0.0,0.0
BTC,2025-11-17,1763140500,long,0.021806529070682146,1,0,-0.2,0.0035069625529493553
ETH,2025-11-17,1763141400,long,0.030543572221241266,1,0,-0.06999999999999999,0.00030836328938779745
BTC,2025-11-17,1763142300,short,0.04365362725138766,1,0,-0.16,-0.02242359697708271
BTC,2025-11-17,1763145900,short,0.024030818540153764,1,0,0.12,0.06176963473286395
SOL,2025-11-17,1763152200,long,0.028823707744799698,1,0,0.20999999999999996,0.027197102973378545
SOL,2025-11-17,1763152200,short,0.031176292255200244,0,0,0.0,0.0
BTC,2025-11-17,1763154900,short,0.02356387045738395,2,1,0.13999999999999996,0.119500593148593
BTC,2025-11-17,1763154900,long,0.02643612954261587,2,1,-0.09000000000000002,-0.06950059314859307
BTC,2025-11-18,1763226900,short,0.02583865967158394,2,1,0.09000000000000002,0.025722033158993574
BTC,2025-11-17,1763240400,short,0.02147892824918285,2,1,0.12999999999999995,0.08116036914390792
SOL,2025-11-18,1763260200,short,0.045471741098129015,0,0,0.0,0.0
SOL,2025-11-17,1763260200,short,0.03863372777562979,1,0,-0.11,0.0098294660371301
SOL,2025-11-17,1763260200,long,0.031366272224370384,1,0,0.14,0.020170533962869913
SOL,2025-11-17,1763260200,short,0.03863372777562979,1,0,-0.11,0.0098294660371301
SOL,2025-11-17,1763260200,long,0.031366272224370384,1,0,0.14,0.020170533962869913
SOL,2025-11-18,1763264700,long,0.053165643743612545,0,0,0.0,0.0
SOL,2025-11-19,1763313300,short,0.021600759417595095,2,1,0.22199999999999998,0.26001945210503913
ETH,2025-11-19,1763313300,long,0.02419213034814005,0,0,0.0,0.0
BTC,2025-11-19,1763316900,long,0.026236171736232716,1,0,-0.766,-0.42812975299674955
BTC,2025-11-19,1763318700,short,0.024932815489016047,2,1,0.19599999999999995,0.23838170281575627
ETH,2025-11-19,1763319600,long,0.022363358000694777,0,0,0.0,0.0
ETH,2025-11-19,1763321400,short,0.02829612437437168,1,0,-0.09,0.029793441231727003
ETH,2025-11-19,1763334900,short,0.03883441748916272,1,0,0.31000000000000005,0.14735811985817068
BTC,2025-11-17,1763335800,short,0.02510111889260014,2,1,0.07799999999999999,0.07815319756455606
SOL,2025-11-17,1763346600,short,0.034742632257632966,2,1,0.43799999999999994,0.18508460993447168
XRP,2025-11-18,1763353800,short,0.03946251525151245,1,0,-0.08399999999999996,-0.14092498822324925
XRP,2025-11-18,1763353800,long,0.026537484748487383,0,0,0.0,0.0
XRP,2025-11-18,1763353800,short,0.03946251525151245,1,0,-0.08399999999999996,-0.14092498822324925
XRP,2025-11-18,1763353800,long,0.026537484748487383,0,0,0.0,0.0
XRP,2025-11-18,1763356500,short,0.02743312232725592,1,0,-0.02200000000000002,-0.03457807693243825
XRP,2025-11-18,1763358300,long,0.02579663411432853,0,0,0.0,0.0
XRP,2025-11-18,1763358300,short,0.027203365885671404,1,0,-0.02200000000000002,-0.03527076085801202
SOL,2025-11-17,1763362800,short,0.06774540596084822,2,1,0.703,0.1838591053148102
SOL,2025-11-17,1763362800,long,0.02525459403915198,2,1,-0.61,-0.09085910531481023
BTC,2025-11-20,1763399700,long,0.021940988234586456,1,0,-0.023,0.10059686295882583
BTC,2025-11-20,1763399700,long,0.020076319663591358,0,0,0.0,0.0
ETH,2025-11-19,1763399700,long,0.030707117949240637,1,0,0.16999999999999993,-0.04359670820677511
XRP,2025-11-20,1763399700,long,0.05790714152468168,1,0,-0.47000000000000003,-0.024797957935675408
SOL,2025-11-20,1763399700,short,0.036451384623080285,0,0,0.0,0.0
XRP,2025-11-20,1763399700,short,0.04416367595589821,1,0,0.15000000000000002,0.39206211140826364
ETH,2025-11-20,1763399700,short,0.025620873321834492,0,0,0.0,0.0
SOL,2025-11-20,1763399700,short,0.032693239909102,0,0,0.0,0.0
ETH,2025-11-20,1763400600,long,0.023461729451371927,0,0,0.0,0.0
ETH,2025-11-20,1763400600,short,0.024704370363746397,0,0,0.0,0.0
SOL,2025-11-20,1763401500,short,0.028466686835938892,0,0,0.0,0.0
SOL,2025-11-20,1763401500,long,0.02153331316406093,0,0,0.0,0.0
XRP,2025-11-20,1763401500,long,0.03866382632451537,1,0,-0.4,-0.04297310544838834
XRP,2025-11-20,1763401500,short,0.02133617367548446,0,0,0.0,0.0
SOL,2025-11-20,1763402400,short,0.02649435487652918,0,0,0.0,0.0
SOL,2025-11-20,1763402400,long,0.022505645123470863,1,0,0.11599999999999999,0.10322009436499845
ETH,2025-11-20,1763405100,long,0.021104337223735836,1,0,-0.13,0.03422892251859788
ETH,2025-11-20,1763405100,long,0.025299134239584076,2,1,-0.15000000000000013,-0.14654883289594262
ETH,2025-11-20,1763405100,short,0.024700865760415636,2,1,0.19999999999999996,0.19654883289594244
BTC,2025-11-20,1763405100,short,0.022930118840430946,1,0,-0.05,0.07520285322057658
BTC,2025-11-20,1763406000,long,0.027401687032537314,1,0,-0.56,-0.1326610243407521
BTC,2025-11-20,1763406000,long,0.029081044286760838,1,0,-0.723,-0.3669754202678065
ETH,2025-11-19,1763407800,short,0.02238227051849173,2,1,0.05799999999999996,0.03640801727969936
BTC,2025-11-20,1763408700,short,0.020920096819598277,1,0,0.19999999999999996,-0.0381632899592414
ETH,2025-11-20,1763439300,short,0.021656442656479147,1,0,-0.020999999999999998,0.010419413399744629
BTC,2025-11-20,1763452800,short,0.023149926254186992,1,0,0.39,0.16107822957824264
BTC,2025-11-20,1763454600,short,0.02346611118711428,1,0,0.623,0.35513432832826297
BTC,2025-11-20,1763455500,short,0.021023770506466644,2,1,0.15000000000000002,0.06651830354710848
ETH,2025-11-21,1763486100,short,0.03639707967487538,0,0,0.0,0.0
ETH,2025-11-19,1763486100,long,0.021785651045955756,2,1,-0.06399999999999996,0.11645824722088151
BTC,2025-11-21,1763486100,long,0.03388663150254545,0,0,0.0,0.0
ETH,2025-11-21,1763486100,short,0.020773655021124826,1,0,0.08499999999999996,-0.14774968704426697
ETH,2025-11-21,1763486100,short,0.028078374012493357,1,0,-0.85,-0.4435512050710769
ETH,2025-11-21,1763486100,long,0.030413465920052563,1,0,0.41999999999999993,-0.23576981482634485
