asset,event,ts,side,edge,nfill,both,ev_raw,ev_hedged
BTC,2025-11-19,1763017200,long,0.03319755842452454,1,0,-0.969,-0.7637700824856823
BTC,2025-11-18,1763025300,short,0.023414160293813824,0,0,0.0,0.0
BTC,2025-11-18,1763025300,long,0.03658583970618623,0,0,0.0,0.0
ETH,2025-11-18,1763026200,short,0.022634726573552255,0,0,0.0,0.0
ETH,2025-11-18,1763026200,long,0.02736527342644779,0,0,0.0,0.0
ETH,2025-11-18,1763026200,short,0.022634726573552255,0,0,0.0,0.0
ETH,2025-11-18,1763026200,long,0.02736527342644779,0,0,0.0,0.0
ETH,2025-11-18,1763026200,long,0.022013814180935176,0,0,0.0,0.0
ETH,2025-11-18,1763026200,long,0.021406339864110446,0,0,0.0,0.0
BTC,2025-11-18,1763027100,short,0.030396274747805485,0,0,0.0,0.0
BTC,2025-11-18,1763027100,long,0.029603725252194568,0,0,0.0,0.0
ETH,2025-11-18,1763028000,short,0.025780934482034223,0,0,0.0,0.0
ETH,2025-11-18,1763028000,short,0.021829541022222454,0,0,0.0,0.0
ETH,2025-11-17,1763028900,long,0.021307482028880775,0,0,0.0,0.0
BTC,2025-11-19,1763058600,short,0.03791246962957373,1,0,-0.8160000000000001,-0.37779625066438116
BTC,2025-11-19,1763060400,short,0.037382974456624196,0,0,0.0,0.0
BTC,2025-11-19,1763060400,long,0.03061702554337553,1,0,0.71,0.16433469460831895
BTC,2025-11-19,1763060400,short,0.037382974456624196,0,0,0.0,0.0
BTC,2025-11-19,1763060400,long,0.03061702554337553,1,0,0.71,0.16433469460831895
BTC,2025-11-20,1763063100,short,0.027339471143381533,0,0,0.0,0.0
BTC,2025-11-20,1763063100,short,0.024776184924411027,0,0,0.0,0.0
BTC,2025-11-20,1763063100,long,0.029142044607338047,0,0,0.0,0.0
BTC,2025-11-20,1763064900,long,0.021712438878476847,0,0,0.0,0.0
BTC,2025-11-20,1763064900,short,0.020269583272574998,0,0,0.0,0.0
BTC,2025-11-17,1763064900,long,0.027590755076023488,1,0,0.37,0.031060309023918875
SOL,2025-11-17,1763065800,long,0.06231325029831325,0,0,0.0,0.0
BTC,2025-11-17,1763065800,short,0.022256017484516777,1,0,0.59,0.2149407056004492
BTC,2025-11-17,1763065800,long,0.037743982515483054,1,0,0.3999999999999999,0.03692903270355824
ETH,2025-11-20,1763065800,short,0.040780013720216335,0,0,0.0,0.0
BTC,2025-11-20,1763065800,long,0.021808592944948524,0,0,0.0,0.0
BTC,2025-11-17,1763066700,long,0.035205099811236984,1,0,0.22999999999999998,-0.0577149795140568
BTC,2025-11-20,1763067600,short,0.02297167443973902,0,0,0.0,0.0
BTC,2025-11-20,1763067600,long,0.027028325560261024,0,0,0.0,0.0
BTC,2025-11-20,1763067600,short,0.027211145440046325,0,0,0.0,0.0
BTC,2025-11-20,1763067600,long,0.02278885455995372,0,0,0.0,0.0
ETH,2025-11-20,1763073000,long,0.022126752343112344,0,0,0.0,0.0
SOL,2025-11-17,1763073900,long,0.03880655756055473,1,0,0.33000000000000007,0.06603625477167352
SOL,2025-11-17,1763073900,short,0.02119344243944532,0,0,0.0,0.0
BTC,2025-11-18,1763074800,short,0.030352077818734502,1,0,0.13,-0.12500599539977653
BTC,2025-11-20,1763074800,short,0.023597627417922262,1,0,-0.9,-0.5107312981704311
BTC,2025-11-20,1763074800,long,0.03540237258207757,0,0,0.0,0.0
BTC,2025-11-17,1763075700,long,0.04127643407788284,1,0,-0.51,0.011199279906000004
BTC,2025-11-17,1763075700,short,0.03872356592211723,1,0,0.54,0.018800720094000023
BTC,2025-11-19,1763076600,short,0.040135149057624164,1,0,-0.37,0.327689051346865
BTC,2025-11-19,1763076600,long,0.029864850942375565,0,0,0.0,0.0
BTC,2025-11-19,1763082900,long,0.020243162716450547,1,0,-0.42,0.21465855996589528
BTC,2025-11-20,1763083800,long,0.020617782345337288,1,0,-0.88,-0.4743096681755628
BTC,2025-11-19,1763085600,long,0.02016428818869409,2,1,-0.04800000000000004,-0.1668491578107847
SOL,2025-11-20,1763087400,long,0.027408559373506947,0,0,0.0,0.0
SOL,2025-11-20,1763087400,short,0.02559144062649299,0,0,0.0,0.0
ETH,2025-11-20,1763087400,long,0.02309934563198146,1,0,-0.55,-0.060917663920237286
SOL,2025-11-20,1763087400,long,0.027408559373506947,0,0,0.0,0.0
SOL,2025-11-20,1763087400,short,0.02559144062649299,0,0,0.0,0.0
ETH,2025-11-20,1763087400,short,0.03368108614828991,0,0,0.0,0.0
ETH,2025-11-20,1763089200,long,0.024675548567050898,0,0,0.0,0.0
