asset,event,ts,side,edge,tte_d,nfill,unwound,both,ev_hedged,label
BTC,2025-12-10,1764798300,long,0.07419990740755811,6.802777777777778,1,1,0,-0.008381880652360505,0.0
BTC,2025-12-10,1764801000,short,0.02314569880145334,6.771527777777778,2,0,1,0.06362612844014957,0.0
BTC,2025-12-16,1765386900,short,0.04007124619667246,5.990277777777778,1,1,0,0.014854070652523303,0.0
BTC,2025-12-16,1765400400,long,0.025120826437554644,5.834027777777778,2,0,1,0.039506892208791985,0.0
BTC,2025-12-16,1765488600,long,0.020960471831472427,4.813194444444444,1,1,0,0.01404761306216883,0.0
BTC,2025-12-16,1765310400,short,0.026307091482746237,6.875694444444445,1,1,0,-0.023332210939820085,0.0
BTC,2025-12-16,1765316700,long,0.0347794902672669,6.802777777777778,1,1,0,-0.0006514858347878849,0.0
BTC,2025-12-17,1765400400,long,0.024278074099476132,6.834027777777778,0,0,0,0.0,0.0
BTC,2025-12-17,1765400400,short,0.02572192590052369,6.834027777777778,1,1,0,-0.00011301739223281912,0.0
BTC,2025-12-17,1765488600,short,0.02332009646429878,5.813194444444444,1,1,0,0.004430534593386184,0.0
BTC,2025-12-17,1765488600,long,0.028679903535701268,5.813194444444444,0,0,0,0.0,0.0
BTC,2025-12-07,1764705600,long,0.02343321873312698,4.875694444444444,0,0,0,0.0,0.0
BTC,2025-12-07,1764714600,short,0.025449018393698397,4.771527777777777,0,0,0,0.0,0.0
BTC,2025-12-07,1764797400,long,0.05357941162783986,3.813194444444444,1,1,0,-0.004306628532760821,0.0
BTC,2026-01-12,1767739500,short,0.022624407429119864,5.761111111111111,1,1,0,-0.013686780627990142,0.0
BTC,2026-01-13,1767756600,short,0.021124754813494184,6.563194444444445,1,1,0,-0.009442321843552502,0.0
BTC,2026-01-16,1768342500,short,0.023437219132110054,2.7819444444444446,1,1,0,0.01187076784761238,0.0
BTC,2026-01-16,1768347000,long,0.026841342621312325,2.729861111111111,1,1,0,-0.024649128733751795,0.0
BTC,2026-01-18,1768338000,short,0.02183694497440236,4.834027777777778,0,0,0,0.0,0.0
BTC,2026-01-18,1768347000,long,0.03556953040863453,4.729861111111111,1,1,0,-0.035213210210800795,0.0
BTC,2026-01-18,1768430700,short,0.03965018255834729,3.7611111111111106,1,1,0,0.0013221427254450982,0.0
BTC,2026-01-18,1768465800,long,0.02236908327313225,3.354861111111111,1,1,0,0.002004202504874526,0.0
BTC,2026-01-19,1768337100,short,0.02686617989785045,5.844444444444444,1,1,0,-0.025205959052275226,0.0
BTC,2026-01-19,1768342500,long,0.06271295094007745,5.781944444444444,0,0,0,0.0,0.0
BTC,2026-01-19,1768423500,short,0.020909293439880905,4.844444444444444,1,1,0,-0.01947880389143084,0.0
BTC,2026-01-19,1768428900,long,0.022640153533415974,4.781944444444445,1,1,0,-0.027330738927144604,0.0
BTC,2026-01-20,1768431600,short,0.028619713258083768,5.750694444444444,1,1,0,-0.020413984570632628,0.0
BTC,2026-01-20,1768482000,long,0.02804005480502436,5.167361111111111,0,0,0,0.0,0.0
BTC,2026-01-20,1768608000,long,0.020069977987810406,3.7090277777777776,0,0,0,0.0,0.0
BTC,2026-01-20,1768439700,short,0.03135408608578838,5.656944444444444,0,0,0,0.0,0.0
BTC,2026-01-21,1768412700,short,0.045273052558318594,6.969444444444444,1,1,0,-0.04462005544425674,0.0
BTC,2026-01-21,1768412700,long,0.044726947441681375,6.969444444444444,1,1,0,-0.036153624831848294,0.0
BTC,2026-01-21,1768500000,short,0.026504978698463688,5.959027777777778,0,0,0,0.0,0.0
BTC,2026-01-21,1768506300,long,0.023111190904666623,5.886111111111111,0,0,0,0.0,0.0
BTC,2026-01-21,1768618800,long,0.02927480980457764,4.584027777777778,0,0,0,0.0,0.0
BTC,2026-01-21,1768696200,short,0.03108095501524799,3.6881944444444446,1,1,0,-0.00976870050337477,0.0
BTC,2026-01-22,1768620600,short,0.02351836500739346,5.563194444444444,1,1,0,-0.014943070141435293,0.0
BTC,2025-11-17,1762891200,short,0.02657232240103702,5.875694444444444,0,0,0,0.0,0.0
