asset,event,ts,n_strikes,ev_gapw,ev_best1
BTC,2025-10-21,1760751000,4,0.13042230143229033,0.05091315484880299
BTC,2025-10-22,1760788800,1,0.17867062629915426,0.17867062629915426
BTC,2025-10-23,1760899500,2,0.19290613983617558,0.24032777559624968
BTC,2025-10-26,1761137100,1,0.11600623167403634,0.11600623167403634
BTC,2025-11-18,1763172000,1,-0.08118154077176304,-0.08118154077176304
BTC,2025-11-19,1763172000,1,-0.1914632677729789,-0.1914632677729789
BTC,2025-11-20,1763174700,1,0.26835202527740687,0.26835202527740687
BTC,2025-11-22,1763505000,3,0.281032293254325,0.31989297732395405
BTC,2025-11-23,1763586900,2,-0.1756168425417822,-0.21809378567360416
BTC,2025-11-24,1763587800,4,0.07876640480173434,0.4009328646990584
BTC,2025-11-24,1763676900,1,-0.11213621674332372,-0.11213621674332372
BTC,2025-11-25,1763588700,5,-0.1210391333729661,-0.1239121725252035
BTC,2025-11-25,1763675100,3,0.15813799286589608,0.4306429471628636
BTC,2025-11-25,1763761500,3,0.15182044354031124,0.509087345244789
BTC,2025-11-26,1763676900,3,-0.11123953329917086,-0.31384990312612443
BTC,2025-11-26,1763763300,2,0.2983208376561126,0.4099672988731403
BTC,2025-11-27,1763676900,4,0.18401934796595726,0.3305874230311537
BTC,2025-11-27,1763768700,4,0.23379045969030846,0.18189154049735018
BTC,2025-11-27,1763961300,2,0.146368944853998,0.19316340294986617
BTC,2025-11-29,1764111600,2,0.25907121302601976,0.07164409301237029
BTC,2025-11-30,1764110700,2,0.1491506497066062,0.20709718525863408
BTC,2025-11-30,1764197100,5,0.22566807834427688,0.4280606092252368
BTC,2025-12-01,1764111600,4,-0.1287324765427134,-0.2115566673754343
BTC,2025-12-01,1764198000,4,0.20660792560389682,0.30267582337132665
BTC,2025-12-02,1764112500,2,0.22443595516888537,0.3203428818139016
BTC,2025-12-02,1764198900,4,0.32482551282783123,0.34242859507678786
BTC,2025-12-06,1764722700,1,-0.16207498958881228,-0.16207498958881228
BTC,2025-12-31,1766715300,2,0.2038075583841777,0.20882965203895293
BTC,2026-01-08,1767485700,1,-0.4238697981608934,-0.4238697981608934
BTC,2026-01-12,1767735000,1,-0.31182345309100823,-0.31182345309100823
BTC,2026-01-13,1767997800,3,0.1040771619502978,0.048702765913997026
