asset,event,ts,n_strikes,ev_gapw,ev_eqw,ev_best1,evr_gapw,evr_best1,hit_gapw
BTC,2025-10-21,1760751000,2,0.1497242762068277,0.15702825112621155,0.05091315484880299,0.6451241561051068,0.5831999999999999,1.0
BTC,2025-10-22,1760788800,1,0.17867062629915426,0.17867062629915426,0.17867062629915426,0.256203,0.256203,1.0
BTC,2025-10-23,1760899500,1,0.24032777559624968,0.24032777559624968,0.24032777559624968,0.275587,0.275587,1.0
BTC,2025-10-26,1761137100,1,0.11600623167403634,0.11600623167403634,0.11600623167403634,0.502528,0.502528,1.0
BTC,2025-11-18,1763172000,1,-0.08118154077176304,-0.08118154077176304,-0.08118154077176304,-0.252768,-0.252768,0.0
BTC,2025-11-19,1763172000,1,-0.1914632677729789,-0.1914632677729789,-0.1914632677729789,-0.61186825,-0.61186825,0.0
BTC,2025-11-20,1763174700,1,0.26835202527740687,0.26835202527740687,0.26835202527740687,-0.3147,-0.3147,0.0
BTC,2025-11-22,1763505000,1,0.31989297732395405,0.31989297732395405,0.31989297732395405,-0.426933,-0.426933,0.0
BTC,2025-11-23,1763586900,1,-0.21809378567360416,-0.21809378567360416,-0.21809378567360416,-0.467325,-0.467325,0.0
BTC,2025-11-24,1763587800,2,0.09534508975090486,0.05820887995069435,0.4009328646990584,-0.08516134074978438,0.246532,0.5541780141641922
BTC,2025-11-24,1763676900,1,-0.11213621674332372,-0.11213621674332372,-0.11213621674332372,-0.148428,-0.148428,0.0
BTC,2025-11-25,1763588700,5,-0.12103913337296611,-0.0952383059216596,-0.1239121725252035,-0.3259867404035612,-0.34547700000000003,0.16519311885290985
BTC,2025-11-25,1763675100,2,0.11487150575832789,0.0818277151918271,0.4306429471628636,0.08743477011369388,0.40294800000000003,0.5473657506006568
BTC,2025-11-25,1763761500,2,0.1403622554023519,0.0843930025287992,0.509087345244789,0.27870707917534315,0.654523,0.565893570085747
BTC,2025-11-26,1763676900,1,-0.31384990312612443,-0.31384990312612443,-0.31384990312612443,-0.3147,-0.3147,0.0
BTC,2025-11-26,1763763300,2,0.2983208376561126,0.2764840695333121,0.4099672988731403,0.46899546912286466,0.593347,1.0
BTC,2025-11-27,1763676900,2,0.389810415746523,0.3967107707469204,0.3305874230311537,0.5973934612144287,0.542752,1.0
BTC,2025-11-27,1763768700,1,0.18189154049735018,0.18189154049735018,0.18189154049735018,0.5629480000000001,0.5629480000000001,1.0
BTC,2025-11-27,1763961300,1,0.19316340294986617,0.19316340294986617,0.19316340294986617,0.502528,0.502528,1.0
BTC,2025-11-29,1764111600,2,0.25907121302601976,0.27667309159710785,0.07164409301237029,0.5436388384951495,0.363508,1.0
BTC,2025-11-30,1764110700,1,0.20709718525863408,0.20709718525863408,0.20709718525863408,0.5730670000000001,0.5730670000000001,1.0
BTC,2025-11-30,1764197100,4,0.23814351485286123,0.04391991387330749,0.4280606092252368,0.3720032463345727,0.5629480000000001,0.7356274071862483
BTC,2025-12-01,1764111600,1,-0.2115566673754343,-0.2115566673754343,-0.2115566673754343,-0.44715699999999997,-0.44715699999999997,0.0
BTC,2025-12-01,1764198000,3,0.2060308984221687,0.22430979172504203,0.30267582337132665,-0.31704688647991525,-0.263125,0.0
BTC,2025-12-02,1764112500,1,0.3203428818139016,0.3203428818139016,0.3203428818139016,0.532675,0.532675,1.0
BTC,2025-12-02,1764198900,2,0.3664775112217108,0.3959109215476243,0.34242859507678786,0.3902610305686785,0.363508,1.0
BTC,2025-12-06,1764722700,1,-0.16207498958881228,-0.16207498958881228,-0.16207498958881228,-0.30235392,-0.30235392,0.0
BTC,2025-12-31,1766715300,1,0.20882965203895293,0.20882965203895293,0.20882965203895293,0.16012300000000004,0.16012300000000004,1.0
BTC,2026-01-08,1767485700,1,-0.4238697981608934,-0.4238697981608934,-0.4238697981608934,-0.467325,-0.467325,0.0
BTC,2026-01-12,1767735000,1,-0.31182345309100823,-0.31182345309100823,-0.31182345309100823,-0.4168,-0.4168,0.0
BTC,2026-01-13,1767997800,1,0.048702765913997026,0.048702765913997026,0.048702765913997026,0.42275199999999996,0.42275199999999996,1.0
BTC,2026-01-14,1768000500,1,-0.3001166678535851,-0.3001166678535851,-0.3001166678535851,0.42275199999999996,0.42275199999999996,1.0
BTC,2026-01-15,1767972600,2,-0.017658938898352315,-0.02651758248298504,0.01433207053703317,0.3597869577635973,0.432675,1.0
BTC,2026-01-15,1768186800,1,-0.10855906440718366,-0.10855906440718366,-0.10855906440718366,0.29502700000000004,0.29502700000000004,1.0
BTC,2026-01-19,1768344300,1,-0.0003780393070941801,-0.0003780393070941801,-0.0003780393070941801,-0.12633872999999998,-0.12633872999999998,0.0
BTC,2026-01-20,1768493700,1,0.035547921496541623,0.035547921496541623,0.035547921496541623,-0.5970519999999999,-0.5970519999999999,0.0
BTC,2026-01-22,1768597200,1,0.27208803764749717,0.27208803764749717,0.27208803764749717,-0.4168,-0.4168,0.0
BTC,2026-01-25,1769004900,1,-0.3871126397705857,-0.3871126397705857,-0.3871126397705857,-0.5474370000000001,-0.5474370000000001,0.0
BTC,2026-02-03,1769784300,1,0.06806107770702274,0.06806107770702274,0.06806107770702274,-0.62271348,-0.62271348,0.0
BTC,2026-02-03,1769878800,1,-0.30581522704339226,-0.30581522704339226,-0.30581522704339226,-0.62960617,-0.62960617,0.0
BTC,2026-02-04,1769784300,1,0.5650273493311402,0.5650273493311402,0.5650273493311402,-0.4168,-0.4168,0.0
BTC,2026-02-05,1769784300,1,1.0390803801757202,1.0390803801757202,1.0390803801757202,-0.273468,-0.273468,0.0
BTC,2026-02-08,1770228000,1,0.2623298020865233,0.2623298020865233,0.2623298020865233,0.15630892000000005,0.15630892000000005,1.0
BTC,2026-02-09,1770227100,1,0.46251437382513527,0.46251437382513527,0.46251437382513527,0.30086991999999996,0.30086991999999996,1.0
BTC,2026-02-09,1770396300,1,-0.3512685008552915,-0.3512685008552915,-0.3512685008552915,-0.3147,-0.3147,0.0
BTC,2026-02-10,1770448500,1,0.1967514944880686,0.1967514944880686,0.1967514944880686,0.30964374999999994,0.30964374999999994,1.0
BTC,2026-02-11,1770306300,2,0.41393983327595363,0.4199866936884161,0.3629072091043551,0.33616361027258596,0.29016175000000005,1.0
BTC,2026-02-12,1770326100,1,0.11719740676227994,0.11719740676227994,0.11719740676227994,0.19838699999999995,0.19838699999999995,1.0
BTC,2026-02-14,1770822000,2,0.23047575467822928,0.25002012855191047,0.14851711181439647,0.5542694189225152,0.472507,1.0
BTC,2026-02-16,1770811200,1,0.2848867331097581,0.2848867331097581,0.2848867331097581,0.35368299999999997,0.35368299999999997,1.0
BTC,2026-03-03,1772261100,1,-0.048334247185881085,-0.048334247185881085,-0.048334247185881085,0.34387199999999996,0.34387199999999996,1.0
BTC,2026-03-04,1772269200,1,-0.46200245487529157,-0.46200245487529157,-0.46200245487529157,0.30476799999999993,0.30476799999999993,1.0
BTC,2026-03-12,1772762400,1,0.19481690243014976,0.19481690243014976,0.19481690243014976,0.15059200000000003,0.15059200000000003,1.0
BTC,2026-03-22,1773927900,1,-0.355972966598694,-0.355972966598694,-0.355972966598694,-0.457248,-0.457248,0.0
BTC,2026-03-23,1773928800,1,0.14429498935226773,0.14429498935226773,0.14429498935226773,0.16107687000000004,0.16107687000000004,1.0
BTC,2026-03-24,1773927900,1,0.34420529044244647,0.34420529044244647,0.34420529044244647,0.35368299999999997,0.35368299999999997,1.0
BTC,2026-03-25,1773928800,1,0.29698310333771133,0.29698310333771133,0.29698310333771133,0.363508,0.363508,1.0
BTC,2026-04-02,1774824300,2,0.23225719582994891,0.23604192729427154,0.14174341013621083,0.34541290683869486,0.246532,1.0
BTC,2026-04-06,1775142000,1,0.2613111499877676,0.2613111499877676,0.2613111499877676,0.623872,0.623872,1.0
BTC,2026-04-07,1775142000,1,0.46603463278599405,0.46603463278599405,0.46603463278599405,0.603508,0.603508,1.0
BTC,2026-04-08,1775076300,1,0.42887047631808406,0.42887047631808406,0.42887047631808406,0.6750269999999999,0.6750269999999999,1.0
BTC,2026-04-12,1775604600,1,-0.120846701793555,-0.120846701793555,-0.120846701793555,-0.304413,-0.304413,0.0
BTC,2026-04-13,1775604600,1,-0.47146442978162484,-0.47146442978162484,-0.47146442978162484,-0.5474370000000001,-0.5474370000000001,0.0
BTC,2026-04-14,1775599200,1,0.4497832234173214,0.4497832234173214,0.4497832234173214,0.757603,0.757603,1.0
BTC,2026-04-18,1776267000,1,0.19855563732213843,0.19855563732213843,0.19855563732213843,0.4825,0.4825,1.0
BTC,2026-04-21,1776489300,1,-0.20508461875874878,-0.20508461875874878,-0.20508461875874878,-0.40665300000000004,-0.40665300000000004,0.0
BTC,2026-04-23,1776700800,2,0.14826409048742978,0.14227202432420627,0.24978747928057687,0.46631700518286096,0.593347,1.0
BTC,2026-04-27,1776947400,1,-0.34354789621479076,-0.34354789621479076,-0.34354789621479076,-0.47738800000000003,-0.47738800000000003,0.0
BTC,2026-05-03,1777516200,1,0.12506577680196668,0.12506577680196668,0.12506577680196668,0.532675,0.532675,1.0
BTC,2026-05-05,1777660200,1,-0.07293183740080555,-0.07293183740080555,-0.07293183740080555,0.39306700000000006,0.39306700000000006,1.0
BTC,2026-05-10,1778094900,1,-0.43356683076251606,-0.43356683076251606,-0.43356683076251606,-0.40665300000000004,-0.40665300000000004,0.0
BTC,2026-05-11,1778112000,1,-0.432218045984065,-0.432218045984065,-0.432218045984065,-0.437052,-0.437052,0.0
BTC,2026-05-11,1778209200,1,0.23615363479710277,0.23615363479710277,0.23615363479710277,0.5528430000000001,0.5528430000000001,1.0
BTC,2026-05-12,1778112000,1,-0.31739377815631237,-0.31739377815631237,-0.31739377815631237,-0.44715699999999997,-0.44715699999999997,0.0
ETH,2025-10-21,1760751000,3,0.2950189532951073,0.2840882146925986,0.27333667517160265,0.5719191540032973,0.5629480000000001,0.9999999999999999
ETH,2025-10-22,1760771700,1,0.4858481839686419,0.4858481839686419,0.4858481839686419,0.40294800000000003,0.40294800000000003,1.0
