asset,event,ts,fside,overshoot,z,label,ev_raw,ev_hedged
BTC,2025-11-09,1762700400,yes,-0.06571803902768586,-2.3371389448192095,0,-0.09,-0.2870874513036651
BTC,2026-02-12,1770327000,yes,-0.06257143284762823,-1.7026972003064706,1,0.41000000000000003,0.33412654845813944
BTC,2026-02-15,1770822900,yes,-0.059361285210139725,-3.661268099459544,1,0.14600000000000002,-0.020646605052875855
BTC,2026-02-16,1770822000,yes,-0.0687671111539081,-4.852426685221893,1,0.16000000000000003,0.09186380014443636
BTC,2026-02-25,1771810200,yes,-0.08847934851539463,-5.209638559474273,1,0.20599999999999996,-0.031557461785383295
BTC,2026-02-26,1771810200,yes,-0.06954074173318636,-5.209638559474273,1,0.22999999999999998,0.10267978800880417
BTC,2026-02-28,1772262000,yes,-0.09604797454965064,-4.522426694982919,1,0.255,-0.11112285232264024
BTC,2026-03-01,1772261100,yes,-0.0648250132820466,-5.357234162611052,1,0.17999999999999994,-0.060624928722251004
BTC,2026-03-03,1772261100,yes,-0.06447399681533283,-5.357234162611052,1,0.30000000000000004,-0.092206247185881
BTC,2026-03-05,1772406900,no,0.05238500705501559,1.7587672402841008,1,-0.16000000000000003,0.16658108810319328
BTC,2026-04-01,1774824300,yes,-0.05800104705259446,-4.1533353453894275,1,0.33999999999999997,0.016773691416170855
BTC,2026-04-02,1774824300,yes,-0.057068244663074696,-4.1533353453894275,1,0.36,0.25521141013621085
BTC,2026-02-11,1770304500,yes,-0.06154579733541965,-6.39635523851986,1,0.266,0.36466224287479215
BTC,2026-02-11,1770467400,no,0.07962879225310615,3.762649657646802,1,-0.10999999999999999,-0.2602481138116497
BTC,2026-02-12,1770327000,yes,-0.126752426651079,-1.7026972003064706,1,0.51,0.42968994596563476
BTC,2026-02-15,1770822000,yes,-0.05418332303869111,-4.852426685221893,1,0.27,0.08253449934538207
BTC,2026-02-23,1771810200,yes,-0.06471534624160558,-5.209638559474273,1,0.33199999999999996,0.26897150264582775
BTC,2026-02-24,1771810200,yes,-0.05207749006765516,-5.209638559474273,1,0.38,0.48410857557486253
BTC,2026-02-25,1771810200,yes,-0.055017612873033195,-5.209638559474273,1,0.4,0.04992554930840726
BTC,2026-02-28,1772260200,yes,-0.0829075543355613,-3.557562490526864,1,0.29200000000000004,0.09277712558958787
BTC,2026-03-01,1772260200,yes,-0.05108484702070171,-3.557562490526864,1,0.36,-0.02030984162750815
BTC,2026-03-30,1774824300,yes,-0.08861185166146812,-4.1533353453894275,1,0.245,-0.02207233258458119
BTC,2026-03-31,1774824300,yes,-0.06575831709594093,-4.1533353453894275,1,0.30999999999999994,0.1761742888952714
BTC,2026-04-01,1774824300,yes,-0.06373984653612252,-4.1533353453894275,1,0.59,0.19475637474496688
BTC,2026-02-11,1770822000,yes,-0.08055775685543387,-4.852426685221893,1,0.30999999999999994,0.5148109436546693
