asset,event,ts,side,edge,tte_d,nfill,both,ev_raw,ev_hedged
BTC,2025-12-10,1764798300,long,0.07419990740755811,6.802777777777778,1,0,0.10999999999999999,0.07669537483371724
BTC,2025-12-10,1764808200,short,0.04104063298583782,6.688194444444444,0,0,0.0,0.0
BTC,2025-12-10,1764925200,short,0.040084233965124394,5.334027777777778,0,0,0.0,0.0
BTC,2025-12-16,1765386900,short,0.04007124619667246,5.990277777777778,1,0,0.10999999999999999,-0.02489701617078055
BTC,2025-12-16,1765313100,short,0.037327950818533684,6.844444444444445,0,0,0.0,0.0
BTC,2025-12-16,1765316700,long,0.0347794902672669,6.802777777777778,1,0,-0.08,0.08793694156237049
BTC,2025-12-17,1765401300,long,0.032387888811765464,6.823611111111111,0,0,0.0,0.0
BTC,2025-12-17,1765403100,short,0.03538588516439245,6.802777777777778,0,0,0.0,0.0
BTC,2025-12-07,1764716400,long,0.03120066851724923,4.750694444444445,0,0,0.0,0.0
BTC,2025-12-07,1764774900,short,0.037239383069375354,4.073611111111111,1,0,-0.03,-0.004413699581552848
BTC,2025-12-07,1764802800,long,0.03795739272191323,3.7506944444444446,0,0,0.0,0.0
BTC,2026-01-16,1768345200,short,0.04256621181203202,2.7506944444444446,1,0,-0.039,-0.010605818857327875
BTC,2026-01-18,1768347000,long,0.03556953040863453,4.729861111111111,1,0,-0.131,-0.11959615365035801
BTC,2026-01-18,1768430700,short,0.03965018255834729,3.7611111111111106,1,0,-0.077,0.009202016744326191
BTC,2026-01-18,1768486500,long,0.031015401461336634,3.115277777777778,0,0,0.0,0.0
BTC,2026-01-19,1768342500,long,0.06271295094007745,5.781944444444444,0,0,0.0,0.0
BTC,2026-01-19,1768401900,short,0.034607669179236744,5.094444444444445,1,0,0.17100000000000004,0.01906699191185074
BTC,2026-01-19,1768482000,long,0.032065559513349884,4.167361111111111,0,0,0.0,0.0
BTC,2026-01-19,1768489200,short,0.033188607098074474,4.084027777777778,0,0,0.0,0.0
BTC,2026-01-20,1768353300,long,0.033687443922646665,6.656944444444444,1,0,-0.16,0.12887126096786297
BTC,2026-01-20,1768486500,long,0.0354310084297329,5.115277777777778,0,0,0.0,0.0
BTC,2026-01-20,1768489200,short,0.03638775773380254,5.084027777777777,0,0,0.0,0.0
BTC,2026-01-21,1768412700,long,0.044726947441681375,6.969444444444444,1,0,0.18999999999999995,-0.2988407150687261
BTC,2026-01-21,1768412700,short,0.045273052558318594,6.969444444444444,1,0,0.31000000000000005,-0.33727674436176636
BTC,2026-01-21,1768501800,short,0.03289061855784736,5.938194444444445,0,0,0.0,0.0
BTC,2026-01-21,1768623300,short,0.03207979038574327,4.531944444444444,0,0,0.0,0.0
BTC,2026-01-21,1768669200,long,0.038309008411155476,4.000694444444445,0,0,0.0,0.0
BTC,2026-01-22,1768781700,short,0.03136090014037307,3.698611111111111,0,0,0.0,0.0
BTC,2026-01-22,1768792500,long,0.030178766275920643,3.573611111111111,0,0,0.0,0.0
BTC,2025-11-17,1762901100,long,0.030004586797711674,5.761111111111111,0,0,0.0,0.0
BTC,2025-11-17,1762902000,short,0.031056682565233973,5.750694444444444,1,0,0.75,0.19373883121043234
BTC,2025-11-17,1762991100,short,0.03623130633873972,4.719444444444444,1,0,0.6799999999999999,0.08931759481747159
BTC,2025-11-17,1763019900,long,0.041717416911164706,4.386111111111111,0,0,0.0,0.0
BTC,2025-11-17,1763103600,short,0.03432396623687428,3.417361111111111,1,0,-0.14,0.04415060112265054
BTC,2025-11-18,1762946100,long,0.03323022632169281,6.240277777777778,0,0,0.0,0.0
BTC,2025-11-18,1762947000,short,0.032314126566429735,6.229861111111111,1,0,0.85,0.2618944244185786
BTC,2025-11-18,1763034300,long,0.03096960147945671,5.219444444444445,0,0,0.0,0.0
BTC,2025-11-18,1763046000,short,0.038885340476920494,5.084027777777777,1,0,-0.5700000000000001,0.21247044579161922
BTC,2025-11-18,1763134200,short,0.03126191927167843,4.063194444444444,2,1,0.14,0.08782315210977547
BTC,2025-11-18,1763228700,short,0.030239983977917273,2.9694444444444446,2,1,0.10000000000000003,0.029814966504593143
BTC,2025-11-19,1762991100,short,0.03435581271854604,6.719444444444444,0,0,0.0,0.0
BTC,2025-11-19,1763002800,long,0.03860468223956248,6.584027777777778,0,0,0.0,0.0
BTC,2025-11-19,1763087400,short,0.030291515403928604,5.604861111111111,1,0,-0.32,0.33102751182811013
BTC,2025-11-19,1763096400,long,0.03902970725386834,5.500694444444444,0,0,0.0,0.0
BTC,2025-11-20,1763095500,short,0.031704910177297485,6.511111111111111,1,0,-0.23,0.28603002198824634
