ob,n,fwd,fwd_sd,fwd_t
"(-1.0, -0.05]",1485,-0.008106565449605597,0.06616026864391857,-4.7217485999700495
"(-0.05, -0.03]",3407,-0.0022147369098977094,0.028238505604304038,-4.577902094302725
"(-0.03, -0.01]",21941,-0.0009894509465994252,0.01954591904692863,-7.498361623565071
"(-0.01, 0.01]",50804,-0.00013832569966439114,0.014738334585779672,-2.115453179647055
"(0.01, 0.03]",11643,0.001138151101332392,0.01844136283892144,6.659465278511068
"(0.03, 1.0]",2205,0.003994962784089024,0.04344544623491422,4.317901913000634
