othr,fside,sample,n_sig,fill_rate,ev_raw,n,n_events,ev_mean,ev_ev,se,t,hit
0.02,no,train,1730,0.5184971098265896,0.04442589591392112,897,357,0.0203631780815046,0.012919138442116711,0.011856695372401718,1.0896070141253686,0.4537346711259755
0.02,yes,train,1900,0.5163157894736842,-0.011755578086445131,981,341,0.052847449739869594,0.04423322719832851,0.011187996465731903,3.953632568066318,0.5769622833843018
0.02,both,train,3630,0.5173553719008265,0.0015110091437272558,1878,447,0.03733179921934062,0.03856083884527296,0.008512252753769304,4.53003922236659,0.5181043663471778
0.03,no,train,907,0.5600882028665931,0.06331943441636581,508,277,0.03635339745944844,0.03622567194622116,0.015709809404707783,2.305926890199276,0.44291338582677164
0.03,yes,train,1048,0.6030534351145038,-0.024103936578326837,632,287,0.07349109978964227,0.05189529450421365,0.014203487114236196,3.6537009599705166,0.560126582278481
0.03,both,train,1955,0.5831202046035806,-0.0015053293008012486,1140,392,0.056942018400397997,0.04993419347028931,0.010877944899327377,4.590406913476545,0.5078947368421053
0.05,no,train,258,0.689922480620155,0.04028227699530516,178,142,0.06611100168323669,0.06470320225446644,0.025518332787507817,2.5355575849430525,0.43820224719101125
0.05,yes,train,333,0.6666666666666666,0.004941501103752746,222,151,0.09431677396026862,0.07701724686809869,0.021375925124585048,3.602990112438175,0.5135135135135135
0.05,both,train,591,0.676818950930626,0.014672244623655899,400,248,0.08176520529698943,0.07941363210587439,0.01716450456273768,4.62661953426101,0.48
