asset,event,ts,side,edge,nfill,both,ev_raw,ev_hedged
BTC,2025-11-11,1762290900,long,0.035307305814167744,1,0,0.25,0.10908716618938802
BTC,2025-11-11,1762290900,short,0.04469269418583233,0,0,0.0,0.0
BTC,2025-11-11,1762290900,long,0.035307305814167744,1,0,0.25,0.10908716618938802
BTC,2025-11-11,1762290900,short,0.04469269418583233,0,0,0.0,0.0
BTC,2025-11-11,1762333200,long,0.037396636237170044,1,0,-0.15000000000000002,-0.07849950421970177
BTC,2025-11-11,1762403400,short,0.030901362019217005,1,0,-0.03300000000000003,-0.0392952662948706
BTC,2025-11-11,1762479000,long,0.03923494772539082,0,0,0.0,0.0
BTC,2025-11-11,1762518600,short,0.032556210176877265,0,0,0.0,0.0
BTC,2025-11-15,1762891200,long,0.030666922388002504,1,0,-0.24000000000000002,0.29623976856772183
BTC,2025-11-17,1762891200,long,0.03211703575327918,0,0,0.0,0.0
BTC,2025-11-17,1762891200,short,0.03458182815840394,0,0,0.0,0.0
BTC,2025-11-17,1762898400,long,0.03138734853084579,1,0,0.73,0.17546038859926472
BTC,2025-11-17,1762900200,short,0.030026115824167143,1,0,-0.27,0.29828982799150894
BTC,2025-11-17,1762901100,long,0.030004586797711674,0,0,0.0,0.0
BTC,2025-11-17,1762902000,short,0.03741569875150097,1,0,0.87,0.4396952986357802
BTC,2025-11-17,1762902000,short,0.031056682565233973,1,0,0.75,0.19373883121043234
BTC,2025-11-18,1762902000,long,0.03537273290782417,1,0,-0.29000000000000004,0.3002431607885164
BTC,2025-11-18,1762910100,short,0.03292043617950302,1,0,-0.19,0.30021910661735546
BTC,2025-11-15,1762912800,short,0.031264063623498206,1,0,-0.11,0.259244286866781
BTC,2025-11-18,1762916400,short,0.04022056362900572,1,0,0.86,0.39926254529171457
BTC,2025-11-18,1762921800,long,0.030446257388994313,1,0,0.76,0.16637251153384713
BTC,2025-11-18,1762935300,long,0.048481186423316114,0,0,0.0,0.0
BTC,2025-11-18,1762935300,short,0.03551881357668374,0,0,0.0,0.0
BTC,2025-11-18,1762935300,long,0.048481186423316114,0,0,0.0,0.0
BTC,2025-11-18,1762935300,short,0.03551881357668374,0,0,0.0,0.0
ETH,2025-11-17,1762942500,short,0.034256398763075846,0,0,0.0,0.0
BTC,2025-11-17,1762946100,long,0.03158054051185544,0,0,0.0,0.0
BTC,2025-11-18,1762946100,long,0.03323022632169281,0,0,0.0,0.0
BTC,2025-11-18,1762947000,short,0.032314126566429735,1,0,0.85,0.2618944244185786
BTC,2025-11-19,1762972200,short,0.04364404489205698,0,0,0.0,0.0
BTC,2025-11-19,1762972200,long,0.040355955107942876,1,0,-0.948,-0.678430842245198
BTC,2025-11-19,1762972200,short,0.04364404489205698,0,0,0.0,0.0
BTC,2025-11-19,1762972200,long,0.040355955107942876,1,0,-0.948,-0.678430842245198
