asset,slug,ts,event,entry,fv,fv_sea,tte_d,label,ev_raw,ev_hedged
ETH,ethereum-above-4000-on-october-11,1760170500,2025-10-11,0.959,0.0035522103455780303,0.0027898625685343946,0.3236111111111111,0,0.03824767000000003,0.04655179573556466
BTC,bitcoin-above-114k-on-october-12,1760281200,2025-10-12,0.9410000000000001,0.008903969325299096,0.005074672220166958,0.04236111111111111,0,0.05511366999999995,0.0903659131891589
ETH,ethereum-above-4300-on-october-13,1760355900,2025-10-13,0.97,0.0010876805123056254,0.006556089760696788,0.17777777777777776,0,0.027963000000000026,0.030973444958199325
BTC,bitcoin-above-116k-on-october-15,1760518800,2025-10-15,0.98,0.005689832454067099,0.009508009935375376,0.2923611111111111,0,0.018628000000000016,-0.012759741509341286
ETH,ethereum-above-4300-on-october-15,1760529600,2025-10-15,0.96,0.0013312917937433502,0.006467547383072038,0.16736111111111113,0,0.03731200000000003,0.029539837082805158
XRP,xrp-above-2pt4-on-october-17,1760688900,2025-10-17,0.98,0.002402259576666632,0.005371618817131331,0.3236111111111111,0,0.018628000000000016,0.028866885655111186
ETH,ethereum-above-4000-on-october-18,1760780700,2025-10-18,0.97,0.011628167222889018,0.009745225304082934,0.2611111111111111,0,0.027963000000000026,0.027786636015956528
ETH,ethereum-above-4000-on-october-19,1760863500,2025-10-19,0.97,0.023912446390257774,0.009362957312093695,0.30277777777777776,0,0.027963000000000026,0.12302340606373445
SOL,solana-above-200-on-october-20,1760966100,2025-10-20,0.98,0.00038258019219815646,0.006256175730864937,0.11527777777777777,0,0.018628000000000016,0.017009692910903963
BTC,bitcoin-above-112k-on-october-22,1761120900,2025-10-22,0.953,0.0060458342138469245,0.008991317818440033,0.3236111111111111,0,0.043864630000000036,0.047900764035068724
ETH,ethereum-above-4100-on-october-22,1761123600,2025-10-22,0.94,0.0006765578280601833,0.0012570886265454917,0.2923611111111111,0,0.056052000000000046,0.05563470757232873
ETH,ethereum-above-4000-on-october-22,1761130800,2025-10-22,0.947,0.0022664202612887184,0.006407527218483878,0.20902777777777776,0,0.049486630000000045,0.05196642579149324
BTC,bitcoin-above-114k-on-october-23,1761207300,2025-10-23,0.969,0.005040722335420753,0.0050580473932013295,0.3236111111111111,0,0.028897270000000027,0.03095384765562645
SOL,solana-above-200-on-october-23,1761216300,2025-10-23,0.977,0.0008113761526898453,0.0014685455805788477,0.21944444444444444,0,0.02142703000000002,0.023400206839066656
ETH,ethereum-above-4000-on-october-23,1761224400,2025-10-23,0.978,0.0014001431531502739,0.008315968307619473,0.12569444444444444,0,0.02049388000000002,0.023153799871599316
ETH,ethereum-above-4000-on-october-25,1761398100,2025-10-25,0.96,0.005239510055776265,0.008970576803552935,0.11527777777777777,0,0.03731200000000003,0.03183722780769853
