thr,tte,sample,n_sig,n_cov,fill_rate,nowin,ev_raw,ev_h_fill,t_fill,wait_med,n,n_events,ev_mean,ev_ev,se,t,hit
0.01,0-1,train,2504,1745,0.7793696275071633,0.6279411764705882,0.01994351211810889,-0.00013364254809086773,-0.019751387711625018,5.799533333381017,1360,558,0.01775376783329117,0.015164102599439276,0.006695585503078143,2.2647911213243304,0.3720588235294118
0.01,1-3,train,7624,5519,0.5158543214350426,0.5637513171759747,0.0247489017755523,-0.006477023684561797,-1.1797981196614113,37.71385000149409,2847,568,0.014779382576339059,0.010777134743732918,0.005504260094873157,1.957962479602133,0.4362486828240253
0.01,3-8,train,12628,8835,0.33853989813242785,0.4908057505850886,0.02251775281641407,-0.013157957086089526,-1.9259627588238963,63.477799999713895,2991,484,0.0058426234555106,0.0037711419254150636,0.006801674549065919,0.554443159285379,0.5091942494149114
0.01,0-8,train,21045,14826,0.4423310400647511,0.5451357121073498,0.019480693571191553,-0.008246370925235075,-1.619614365725855,41.678333332141236,6558,644,0.011366526392719402,0.01096450361341124,0.005051558550936896,2.170518960208368,0.4548642878926502
0.015,0-1,train,2298,1575,0.7758730158730158,0.6243862520458265,0.023725820201498316,-0.0007277465066191043,-0.09979563424773032,5.505666665236156,1222,553,0.020876866386727234,0.016710450606996503,0.007268321070035172,2.2990798625955087,0.37561374795417346
0.015,1-3,train,6834,4885,0.5037871033776868,0.5595286468915075,0.02890311682594098,-0.0019401211086610504,-0.3201979868661121,37.168466667334236,2461,563,0.01946311644684196,0.01814738016967354,0.006034833526899164,3.007105347444121,0.4404713531084925
0.015,3-8,train,11523,7975,0.33090909090909093,0.49753694581280783,0.033077179678569886,-0.007077362392899601,-1.0304564572474115,65.0616333325704,2639,481,0.008830571185596475,0.012020034899119392,0.006862448503384028,1.7515664989241146,0.5024630541871922
0.015,0-8,train,19034,13237,0.4307622573090579,0.5443703963521571,0.019334924056416944,-0.007916290100463866,-1.496282109042278,41.53088333408037,5702,639,0.013995380131651873,0.013427357434673128,0.0052271184040921315,2.568787694604605,0.4556296036478429
0.02,0-1,train,2080,1409,0.7743080198722498,0.6214482126489459,0.021433116480793057,-0.0017728274094475265,-0.21678783123039005,5.450433333714803,1091,538,0.021704489363486425,0.018874780296612458,0.0081170876773144,2.3253143303310138,0.3785517873510541
0.02,1-3,train,5861,4116,0.5089893100097181,0.566109785202864,0.024585264664370495,-0.009289737341815164,-1.2983990136129644,37.23841666777928,2095,548,0.02110909784793492,0.015193694078333927,0.007075557938524326,2.1473492564605747,0.433890214797136
0.02,3-8,train,10002,6849,0.3219448094612352,0.4789115646258504,0.027026884040196975,-0.01952603328399236,-2.582132707685261,69.30875000158946,2205,468,0.004279746677325001,0.004950975813026417,0.007586740133642201,0.6525827596324403,0.5210884353741496
0.02,0-8,train,16510,11357,0.42775380822400283,0.5424042815973651,0.016502008641690172,-0.013786021727611461,-2.347376960770569,40.49619999925295,4858,634,0.013960850322019965,0.011511220241993747,0.005841994573673401,1.970426383801925,0.45759571840263485
0.03,0-1,train,1714,1126,0.7619893428063943,0.6060606060606061,0.022014482526881714,-0.001056314947339949,-0.10812240661867502,4.125833332538605,858,496,0.024037211470744325,0.02462970135258092,0.009753922940924111,2.5251072313933456,0.3939393939393939
0.03,1-3,train,4063,2765,0.48896925858951173,0.5547337278106509,0.038467954196800346,0.0006225140602662803,0.07601570978811117,33.52190833290418,1352,507,0.036666017574187054,0.033215400545517096,0.008081670034407327,4.109967420607882,0.4452662721893491
0.03,3-8,train,7004,4598,0.28882122662026966,0.4593373493975904,0.027421311111913513,-0.02278761827135609,-2.338312596197837,69.50808333357175,1328,415,0.005074065935858277,0.008697416145573381,0.009851004679452942,0.8828963571314004,0.5406626506024096
0.03,0-8,train,11779,7821,0.41107275284490474,0.526905132192846,0.016276583345937245,-0.016229773942731087,-2.469995277769688,33.51239999930064,3215,610,0.01912745367776887,0.01650358221109478,0.006615226785130079,2.4947870643213723,0.473094867807154
