asset,event,slug,ts,entry,ev_raw,ev_hedged,label
BTC,2026-05-20,bitcoin-above-78k-on-may-20,1779026400,0.53,-0.53,-0.42207028924915574,0
ETH,2026-05-18,ethereum-above-2200-on-may-18,1779027300,0.38,-0.38,0.3179896498054311,0
ETH,2026-05-17,ethereum-above-2200-on-may-17,1779030000,0.04,-0.04,-0.044351833226271724,0
ETH,2026-05-20,ethereum-above-2200-on-may-20,1779030900,0.44,-0.44,-0.2174845864999344,0
BTC,2026-05-20,bitcoin-above-76k-on-may-20,1779030900,0.78,0.21999999999999997,0.28490438312816313,1
ETH,2026-05-19,ethereum-above-2200-on-may-19,1779055200,0.45,-0.45,0.03231326405265672,0
ETH,2026-05-18,ethereum-above-2100-on-may-18,1779061500,0.616,0.384,0.48401625619714833,1
XRP,2026-05-21,xrp-above-1pt4-on-may-21,1779081300,0.44,-0.44,-0.2713815095132148,0
XRP,2026-05-20,xrp-above-1pt4-on-may-20,1779081300,0.44,-0.44,-0.31540617135728366,0
XRP,2026-05-19,xrp-above-1pt4-on-may-19,1779081300,0.42,-0.42,-0.18683373519567045,0
ETH,2026-05-19,ethereum-above-2100-on-may-19,1779092100,0.632,0.368,0.42724434159248176,1
BTC,2026-05-21,bitcoin-above-78k-on-may-21,1779106500,0.42,-0.42,-0.4039646168487805,0
SOL,2026-05-20,solana-above-90-on-may-20,1779109200,0.09999999999999999,-0.09999999999999999,-0.12205381309657673,0
SOL,2026-05-21,solana-above-90-on-may-21,1779109200,0.14,-0.14,-0.19231703829553426,0
ETH,2026-05-20,ethereum-above-2100-on-may-20,1779115500,0.56,0.43999999999999995,0.3202812536753831,1
ETH,2026-05-21,ethereum-above-2100-on-may-21,1779115500,0.54,0.45999999999999996,0.37356851814909364,1
BTC,2026-05-21,bitcoin-above-76k-on-may-21,1779120000,0.55,0.44999999999999996,0.31742304857463566,1
ETH,2026-05-21,ethereum-above-2200-on-may-21,1779147900,0.2,-0.2,-0.20311558377893718,0
ETH,2026-05-20,ethereum-above-2200-on-may-20,1779150600,0.15000000000000002,-0.15000000000000002,-0.14542251856261745,0
XRP,2026-05-19,xrp-above-1pt4-on-may-19,1779169500,0.25,-0.25,-0.002470562786002356,0
ETH,2026-05-22,ethereum-above-2000-on-may-22-2026,1779181200,0.901,0.09899999999999998,0.12200572820854444,1
ETH,2026-05-22,ethereum-above-2100-on-may-22-2026,1779181200,0.65,0.35,0.4080090005748169,1
ETH,2026-05-19,ethereum-above-2100-on-may-19,1779199200,0.829,0.17100000000000004,0.2750644663408291,1
ETH,2026-05-20,ethereum-above-2100-on-may-20,1779219000,0.61,0.39,0.157055834121694,1
BTC,2026-05-25,bitcoin-above-78k-on-may-25-2026,1779221700,0.38,-0.38,-0.4515235478534541,0
BTC,2026-05-24,bitcoin-above-80k-on-may-24-2026,1779221700,0.14,-0.14,-0.09534233947979404,0
BTC,2026-05-23,bitcoin-above-78k-on-may-23-2026,1779221700,0.34,-0.34,-0.15762707048795255,0
BTC,2026-05-24,bitcoin-above-78k-on-may-24-2026,1779224400,0.37,-0.37,-0.293387793522558,0
ETH,2026-05-21,ethereum-above-2100-on-may-21,1779228000,0.59,0.41000000000000003,0.29319857218870937,1
ETH,2026-05-23,ethereum-above-2200-on-may-23-2026,1779228000,0.16,-0.16,-0.0022758868173008706,0
ETH,2026-05-24,ethereum-above-2200-on-may-24-2026,1779228000,0.19,-0.19,-0.1317713777580478,0
ETH,2026-05-25,ethereum-above-2200-on-may-25-2026,1779228000,0.21000000000000002,-0.21000000000000002,-0.23661480867482493,0
ETH,2026-05-24,ethereum-above-2100-on-may-24-2026,1779228000,0.55,-0.55,-0.4760730780837863,0
ETH,2026-05-25,ethereum-above-2100-on-may-25-2026,1779228000,0.55,0.44999999999999996,0.41776959235585287,1
ETH,2026-05-23,ethereum-above-2100-on-may-23-2026,1779228900,0.54,-0.54,-0.3429155365101517,0
XRP,2026-05-25,xrp-above-1pt4-on-may-25-2026,1779242400,0.26,-0.26,-0.2765022001159744,0
ETH,2026-05-22,ethereum-above-2100-on-may-22-2026,1779272100,0.67,0.32999999999999996,0.3926484215410616,1
BTC,2026-05-23,bitcoin-above-76k-on-may-23-2026,1779280200,0.74,-0.74,-0.4839823629386631,0
BTC,2026-05-23,bitcoin-above-80k-on-may-23-2026,1779282000,0.13,-0.13,0.07573673545622397,0
BTC,2026-05-25,bitcoin-above-76k-on-may-25-2026,1779283800,0.68,0.31999999999999995,0.28456610105938984,1
ETH,2026-05-23,ethereum-above-2200-on-may-23-2026,1779314400,0.15000000000000002,-0.15000000000000002,0.08748070841823047,0
ETH,2026-05-24,ethereum-above-2200-on-may-24-2026,1779314400,0.18000000000000002,-0.18000000000000002,-0.06260473551959667,0
BTC,2026-05-23,bitcoin-above-78k-on-may-23-2026,1779318000,0.41000000000000003,-0.41000000000000003,-0.03972668678824287,0
BTC,2026-05-26,bitcoin-above-80k-on-may-26-2026,1779332400,0.25,-0.25,-0.09628709837493277,0
BTC,2026-05-27,bitcoin-above-78k-on-may-27-2026,1779346800,0.45,-0.45,-0.1920825024013758,0
ETH,2026-05-25,ethereum-above-2000-on-may-25-2026,1779352200,0.92,0.07999999999999996,0.09805319480581838,1
BTC,2026-05-27,bitcoin-above-76k-on-may-27-2026,1779359400,0.67,-0.67,-0.4501653365041251,0
ETH,2026-05-26,ethereum-above-2200-on-may-26-2026,1779400800,0.2,-0.2,-0.031887298323310054,0
BTC,2026-05-24,bitcoin-above-78k-on-may-24-2026,1779430500,0.35000000000000003,-0.35000000000000003,-0.0769462688210451,0
BTC,2026-05-26,bitcoin-above-80k-on-may-26-2026,1779433200,0.12,-0.12,-0.031152607058235637,0
BTC,2026-05-26,bitcoin-above-78k-on-may-26-2026,1779435000,0.43,-0.43,-0.2624196639806454,0
SOL,2026-05-24,solana-above-90-on-may-24-2026,1779438600,0.17,-0.17,0.03759557412595965,0
BTC,2026-05-27,bitcoin-above-78k-on-may-27-2026,1779438600,0.42,-0.42,-0.09976571684604224,0
SOL,2026-05-26,solana-above-90-on-may-26-2026,1779443100,0.24000000000000002,-0.24000000000000002,-0.019076981561372636,0
XRP,2026-05-23,xrp-above-1pt4-on-may-23-2026,1779449400,0.06999999999999999,-0.06999999999999999,0.04466844660968633,0
ETH,2026-05-27,ethereum-above-2200-on-may-27-2026,1779454800,0.2,-0.2,0.016309922607444155,0
ETH,2026-05-22,ethereum-above-2100-on-may-22-2026,1779457500,0.961,0.039000000000000035,0.059269292083235565,1
ETH,2026-05-25,ethereum-above-2200-on-may-25-2026,1779458400,0.08,-0.08,-0.06978563758689159,0
BTC,2026-05-27,bitcoin-above-76k-on-may-27-2026,1779462000,0.62,-0.62,-0.41696791186499094,0
BTC,2026-05-25,bitcoin-above-76k-on-may-25-2026,1779462000,0.68,0.31999999999999995,0.1484800157848893,1
BTC,2026-05-28,bitcoin-above-76k-on-may-28-2026,1779466500,0.62,-0.62,-0.10689024736298358,0
XRP,2026-05-26,xrp-above-1pt4-on-may-26-2026,1779466500,0.2,-0.2,-0.1645408339025537,0
XRP,2026-05-25,xrp-above-1pt4-on-may-25-2026,1779471000,0.15000000000000002,-0.15000000000000002,-0.15260108356187949,0
ETH,2026-05-27,ethereum-above-2100-on-may-27-2026,1779471000,0.62,-0.62,-0.38256610872830377,0
ETH,2026-05-28,ethereum-above-2000-on-may-28-2026,1779475500,0.84,-0.84,-0.5667860064146855,0
ETH,2026-05-23,ethereum-above-2100-on-may-23-2026,1779475500,0.31,-0.31,0.389505270562106,0
BTC,2026-05-28,bitcoin-above-74k-on-may-28-2026,1779475500,0.8,-0.8,-0.45730172857417306,0
ETH,2026-05-28,ethereum-above-2200-on-may-28-2026,1779475500,0.12,-0.12,0.198618597285676,0
BTC,2026-05-26,bitcoin-above-76k-on-may-26-2026,1779476400,0.62,0.38,0.3910519391062734,1
BTC,2026-05-28,bitcoin-above-72k-on-may-28-2026,1779478200,0.898,0.10199999999999998,0.2867305873468292,1
