family,side,thr,sample,n,n_events,ev,ev_ev,se,t,hit
vertical_between,long,0.02,train,1459,359,-0.02380091326250856,-0.0236515686886654,0.011286021349621117,-2.095651599087167,0.33241946538725153
vertical_between,short,0.02,train,1119,316,-0.0175021787935657,-0.037461774259211184,0.013574983066606457,-2.759618489054666,0.6836461126005362
