year,fv_bucket,n,n_events,mean_vwap,mean_fv,mean_label,fv_minus_vwap,t
2024,"(0.5, 0.7]",1981,43,0.6255329872403709,0.6087835067782695,0.5401312468450278,-0.0167494804621014,-5.2717633015374
2024,"(0.7, 0.8]",1062,44,0.759733850408789,0.7472052298916078,0.7382297551789078,-0.012528620517181286,-0.8440927786091881
2024,"(0.8, 0.9]",1144,39,0.8592504639654034,0.8526781380583061,0.8924825174825175,-0.0065723259070974635,-1.0739456251594173
2024,"(0.9, 0.97]",1228,31,0.9289753435616922,0.9384417800906901,0.9820846905537459,0.009466436528997944,1.7538881682815104
2024,"(0.97, 1.0]",1987,29,0.9798080333114079,0.9893930835136695,0.9979869149471565,0.009585050202261622,5.450372968740682
2025,"(0.5, 0.7]",10090,155,0.6103268223600496,0.6021052288427259,0.6761149653121903,-0.00822159351732384,-5.402720608737346
2025,"(0.7, 0.8]",5806,145,0.7564489399141066,0.7526908785853714,0.8007233895969686,-0.0037580613287351507,-2.8330273290515544
2025,"(0.8, 0.9]",7103,141,0.8527809289906946,0.8514746123154978,0.8769533999718429,-0.0013063166751967295,-1.8754429854821861
2025,"(0.9, 0.97]",7241,129,0.9372120260507524,0.9377171299053493,0.9642314597431294,0.0005051038545969292,0.5224900076166781
2025,"(0.97, 1.0]",11119,115,0.9884395518170123,0.9920278281579895,0.9969421710585484,0.003588276340977015,5.515504797174356
