slug,ts,sz,n,last,sz_buy,vwap,vwap_buy,K,T_pm,label,S_T,S_bin,S_idx,fv,sigma,x,extrap,tte_d,asset,exp_dt,event,quarter,year,gap,n_vwap,n_vwap_buy,n_Sbin,n_ts_,delta,ret_T,ev_raw,ev_hedged,cfg
bitcoin-above-103000-on-june-20,1750191300,29.411763,1,0.660001,29.411763,0.6600009999999998,0.6600009999999998,103000.0,1750435260,1,104252.01,104599.02,104625.14,0.6856006165948162,0.4349664250554704,-0.015405194332440522,0,2.823611111111111,BTC,2025-06-20 16:01:00+00:00,2025-06-20,2025Q2,2025,0.025599616594816355,0.6797885677328225,0.6797885677328225,104579.56,1750192200.0,9.68844616849578,-0.003323041493493955,0.3049741073032969,0.33716921592869087,S2-analog
bitcoin-above-103000-on-june-20,1750278600,5.0,4,0.66,2.0,0.66,0.66,103000.0,1750435260,1,104252.01,104219.99,104237.18,0.6860704934705455,0.3884983280970703,-0.011774965300555025,0,1.8131944444444443,BTC,2025-06-20 16:01:00+00:00,2025-06-20,2025Q2,2025,0.026070493470545464,0.7254394953408689,0.722245088868101,104700.0,1750279500.0,13.359984991537067,0.00030718753839152705,0.2606181122832993,0.2565140913808013,S2-analog
bitcoin-above-103000-on-june-20,1750365000,16250.440435,10,0.73,16250.440435,0.7105977306626767,0.7105977306626767,103000.0,1750435260,1,104252.01,104345.44,104328.45,0.7907338783930706,0.3702920425379326,-0.012977945249138704,0,0.8131944444444444,BTC,2025-06-20 16:01:00+00:00,2025-06-20,2025Q2,2025,0.0801361477303939,0.7152836400204906,0.7152836400204906,104150.71,1750365900.0,17.437889698658704,-0.0008957924101920471,0.2704606531757424,0.286081382417567,S2-analog
bitcoin-above-103000-on-june-24,1750294800,101.13,1,0.64,101.13,0.6399999999999999,0.6399999999999999,103000.0,1750780860,1,105266.71,104944.06,104979.66,0.6753672151087774,0.3710811280913869,-0.018698458055076413,0,5.625694444444444,BTC,2025-06-24 16:01:00+00:00,2025-06-24,2025Q2,2025,0.035367215108777494,0.67,0.67,104722.51,1750302000.0,8.047713816906995,0.003069778521580141,0.31452299999999994,0.2898183009770351,S2-analog
bitcoin-above-103000-on-june-24,1750406400,4741.027029,38,0.78,4741.027029,0.7349302608605736,0.7349302608605736,103000.0,1750780860,1,105266.71,105811.74,105828.87,0.7653626317765235,0.36509948225294236,-0.026932489121680524,0,4.334027777777778,BTC,2025-06-24 16:01:00+00:00,2025-06-24,2025Q2,2025,0.03043237091594997,0.7801433977906914,0.7800806953206407,106239.59,1750407300.0,8.080670559079966,-0.0051642525450241224,0.20785022484210852,0.24958084834233873,S2-analog
bitcoin-above-103000-on-june-24,1750513500,587.0,8,0.58,587.0,0.583236797274276,0.583236797274276,103000.0,1750780860,1,105266.71,103713.49,103737.1,0.615866845493738,0.307529523450036,-0.006903205334107316,0,3.0944444444444446,BTC,2025-06-24 16:01:00+00:00,2025-06-24,2025Q2,2025,0.03263004821946203,0.56,0.56,103543.25,1750515300.0,13.722328117246576,0.014865031242549233,0.42275199999999996,0.21876916381661782,S2-analog
bitcoin-above-103000-on-june-24,1750601700,2543.86522,33,0.15,1530.20522,0.1794949817532153,0.1820669787327866,103000.0,1750780860,1,105266.71,100451.45,100460.39,0.20988388368971717,0.4369993476197479,0.025054462030567097,0,2.073611111111111,BTC,2025-06-24 16:01:00+00:00,2025-06-24,2025Q2,2025,0.030388901936501872,0.16453057028820656,0.1645142147266948,99537.71,1750602600.0,8.955142420408494,0.04682269860722341,0.8258472113907744,0.40654327685522634,S2-analog
bitcoin-above-103000-on-june-24,1750691700,2837.62125,34,0.23,950.48125,0.2787256403580992,0.2746082576589491,103000.0,1750780860,1,105266.71,102011.12,102053.02,0.3096411448620051,0.3971065124627936,0.009647161279727083,0,1.0319444444444446,BTC,2025-06-24 16:01:00+00:00,2025-06-24,2025Q2,2025,0.0309155045039059,0.259193678752973,0.25751579593333285,101540.02,1750692600.0,16.93843550719817,0.03141539785638367,0.7273654591517039,0.19523776862837738,S2-analog
bitcoin-above-103000-on-june-27,1750798800,17.0,1,0.8,0.0,0.8,,103000.0,1751040060,1,107317.39,106087.3,106125.47,0.8298315657203412,0.37442662126457527,-0.0295333518281387,0,2.792361111111111,BTC,2025-06-27 16:01:00+00:00,2025-06-27,2025Q2,2025,0.02983156572034118,0.8182437704550933,0.8009915575675866,105834.6,1750799700.0,8.231296137002136,0.01152836541263946,0.17134576636524984,0.07645237667824162,S2-analog
bitcoin-above-103000-on-june-27,1750885200,4188.372853,6,0.93,357.142853,0.9300000272864228,0.9300003199999973,103000.0,1751040060,1,107317.39,107781.2,107866.64000000001,0.971413715712586,0.37811594003698296,-0.045374258004790544,0,1.792361111111111,BTC,2025-06-27 16:01:00+00:00,2025-06-27,2025Q2,2025,0.04141368842616311,0.92,0.92,107573.2,1750886100.0,3.554279307540936,-0.004312540764012195,0.07484799999999996,0.09017597440045527,S2-analog
bitcoin-above-103000-on-june-27,1750971600,663.162102,7,0.95,663.162102,0.9410380104288558,0.9410380104288558,103000.0,1751040060,1,107317.39,107766.29,107788.57,0.9916524119414433,0.47578713353098134,-0.04523591262184243,0,0.7923611111111111,BTC,2025-06-27 16:01:00+00:00,2025-06-27,2025Q2,2025,0.05061440151258745,0.9438707645754529,0.9438707645754529,107406.71,1750972500.0,2.294967988283561,-0.0041741953810640366,0.052420723319682866,0.06200036809606593,S2-analog
bitcoin-above-104k-on-september-3,1756324800,8.0,1,0.23,8.0,0.23,0.23,104000.0,1756915260,1,112322.28,112080.69,112047.205,0.9366782373019826,0.41606474490932066,-0.07482815918534538,0,6.834027777777778,BTC,2025-09-03 16:01:00+00:00,2025-09-03,2025Q3,2025,0.7066782373019826,0.93,0.93,112329.18,1756327500.0,3.0655092813948976,0.0021531808900572356,0.06544299999999996,0.05884240399700738,S2-analog
bitcoin-above-104k-on-september-3,1756476900,135.5,8,0.85,40.0,0.8502214022140221,0.85,104000.0,1756915260,1,112322.28,108759.46,108519.305,0.8807858471094603,0.3717190784953121,-0.04474775554988715,0,5.073611111111111,BTC,2025-09-03 16:01:00+00:00,2025-09-03,2025Q3,2025,0.030564444895438192,0.835,0.835,108646.72,1756477800.0,5.526029028864916,0.03223358452551533,0.15535575000000004,-0.022767973792368612,S2-analog
bitcoin-above-104k-on-september-3,1756569600,33.42,1,0.872,0.0,0.872,,104000.0,1756915260,1,112322.28,108869.98,108845.7,0.9010294193150509,0.3871121020946973,-0.04576342704636236,0,4.000694444444445,BTC,2025-09-03 16:01:00+00:00,2025-09-03,2025Q3,2025,0.029029419315050875,0.888,0.888,108678.73,1756570500.0,5.322683272174472,0.03121791302904015,0.10503807999999999,-0.061124983471869496,S2-analog
bitcoin-above-104k-on-september-3,1756701900,54.644807,1,0.817,54.644807,0.817,0.817,104000.0,1756915260,1,112322.28,107309.91,107312.96,0.8533214847162367,0.42213876429124747,-0.031330104105670796,0,2.4694444444444446,BTC,2025-09-03 16:01:00+00:00,2025-09-03,2025Q3,2025,0.03632148471623675,0.834,0.8340000000000001,107409.1,1756702800.0,7.766905697806389,0.045651235969731925,0.15630892000000005,-0.19825992476521484,S2-analog
bitcoin-above-104k-on-september-30,1759170600,66.666664,2,0.97,66.666664,0.9699999999999999,0.9699999999999999,104000.0,1759248060,1,113074.3,113963.41,114011.74,0.9999284279113483,0.4839110848638483,-0.09148653282058032,0,0.8965277777777778,BTC,2025-09-30 16:01:00+00:00,2025-09-30,2025Q3,2025,0.02992842791134842,0.997999,0.997999,114009.66,1759173300.0,0.012050157225077327,-0.007832307198680234,0.0018612102800700284,0.0019555908132492302,S2-analog
bitcoin-above-105000-on-january-31,1738250100,53593.566203,187,0.57,34826.436203,0.6256227426555134,0.6209655088035623,105000.0,1738342860,1,105043.12,106236.47,106092.205,0.6711404799868886,0.5247901654564382,-0.011707108361956329,0,1.073611111111111,BTC,2025-01-31 17:01:00+00:00,2025-01-31,2025Q1,2025,0.04551773733137521,0.6082887888184701,0.6072734591211262,105498.3,1738251000.0,12.954075912071305,-0.011296525995766393,0.37503206350639384,0.5213681187982386,S2-analog
bitcoin-above-105000-on-july-1,1750798800,28.02,2,0.58,0.0,0.5621627408993576,,105000.0,1751385660,1,105962.58,106087.3,106125.47,0.5886224877526345,0.3581297018891769,-0.01030198990025116,0,6.792361111111111,BTC,2025-07-01 16:01:00+00:00,2025-07-01,2025Q3,2025,0.0264597468532769,0.579999,0.579999,105881.32,1750803300.0,8.025229465784939,-0.0011763271394610497,0.40294898880006996,0.4123892840210753,S2-analog
bitcoin-above-105000-on-july-1,1750961700,3994.53846,2,0.73,3994.53846,0.7300288855899513,0.7300288855899513,105000.0,1751385660,1,105962.58,107562.11,107594.39,0.7596003962984159,0.31923300357350554,-0.024108098008707404,0,4.906944444444445,BTC,2025-07-01 16:01:00+00:00,2025-07-01,2025Q3,2025,0.029571510708464643,0.73,0.73,107284.68,1750962600.0,8.82237226517003,-0.014982435247917326,0.256203,0.3883836211959317,S2-analog
bitcoin-above-105000-on-july-1,1751092200,23.809522,1,0.79,23.809522,0.79,0.79,105000.0,1751385660,1,105962.58,107449.07,107488.89,0.81726998382359,0.2925242532383859,-0.023056617705080093,0,3.3965277777777776,BTC,2025-07-01 16:01:00+00:00,2025-07-01,2025Q3,2025,0.027269983823589916,0.8109884863186918,0.82,107412.07,1751094000.0,10.241652820890833,-0.01393095494428996,0.17828148238490357,0.3209574863877939,S2-analog
bitcoin-above-105000-on-june-6,1749105000,332.18627000000004,4,0.42,319.99627,0.41036772915469977,0.410000795560117,105000.0,1749225660,1,105069.63,104685.91,104702.14,0.43755146108222864,0.33137326088896796,0.0029958163131789325,0,1.3965277777777778,BTC,2025-06-06 16:01:00+00:00,2025-06-06,2025Q2,2025,0.027183731927528876,0.4181611857750348,0.4181611857750348,104407.0,1749105900.0,19.226588917960857,0.0036587393882567573,0.5648076456309276,0.4944625674549633,S2-analog
bitcoin-above-106000-on-july-4-651,1751472900,7972.7311199999995,25,0.88,7923.011119999999,0.8808685996424273,0.8807122937623747,106000.0,1751644860,1,107594.57,109420.02,109460.375,0.9212117554703382,0.3340978386441841,-0.03175477730553719,0,1.9902777777777778,BTC,2025-07-04 16:01:00+00:00,2025-07-04,2025Q3,2025,0.040343155827910926,0.8996918976792194,0.9,109190.0,1751473800.0,7.175224784634342,-0.01682368964732007,0.09399085523570967,0.2147046101621568,S2-analog
bitcoin-above-106000-on-july-9,1751535900,5.0,1,0.78,5.0,0.78,0.78,106000.0,1752076860,1,109107.13,110260.86,110250.72,0.8132162778813774,0.37175618220756407,-0.03940991876510725,0,6.261111111111111,BTC,2025-07-09 16:01:00+00:00,2025-07-09,2025Q3,2025,0.033216277881377376,0.7751367419738407,0.7751367419738407,109959.57,1751537700.0,6.020591299654401,-0.010518769286296761,0.21266227390103784,0.27599148474918805,S2-analog
bitcoin-above-106000-on-july-9,1751639400,676.09212,16,0.7,614.09212,0.6850923977373379,0.6847923265683982,106000.0,1752076860,1,109107.13,108046.0,108039.5,0.7284384802037145,0.30649002962398036,-0.019117968257379173,0,5.063194444444445,BTC,2025-07-09 16:01:00+00:00,2025-07-09,2025Q3,2025,0.04334608246637661,0.7030926377549217,0.6993166785109058,107981.13,1751640300.0,9.696179761930875,0.009773181221431377,0.28229462561079594,0.18753210364187015,S2-analog
bitcoin-above-106000-on-july-9,1751740200,3000.0,6,0.71,3000.0,0.7106102,0.7106102,106000.0,1752076860,1,109107.13,107969.99,108023.06,0.7402434313578447,0.32050481081800636,-0.018414224028657823,0,3.896527777777778,BTC,2025-07-09 16:01:00+00:00,2025-07-09,2025Q3,2025,0.02963323135784468,0.7470188965900081,0.7470188965900081,108016.72,1751741100.0,10.415452283717487,0.010476925450152816,0.23975238687907008,0.13063046977293807,S2-analog
bitcoin-above-106000-on-july-9,1751906700,348.924803,8,0.79,3.614803,0.7949096588871614,0.8299196747374614,106000.0,1752076860,1,109107.13,108273.88,108311.98,0.8209974831846961,0.33594634322804795,-0.021224848903721765,0,1.9694444444444443,BTC,2025-07-09 16:01:00+00:00,2025-07-09,2025Q3,2025,0.026087824297534756,0.8,,107976.91,1751907600.0,11.286281906988094,0.00766630057508863,0.18879999999999997,0.10227597052584474,S2-analog
