asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf,fut_pnl,perp_fill_pnl,fut_inst,basis_bp,fut_tte_h,ev_perp_sig,ev_perp,ev_fut,ev_fut_hs2.5,ev_fut_hs5.0
BTC,bitcoin-above-110k-on-october-21,110000.0,1761062460,1760751000,0.3923691660662439,3.604861111111111,107283.61,113359.23,8.224600778782618,0.0550859141716834,1,2025-10-21,False,0.27,1760751900.0,0.716203,0.2631433474036201,0.0006721165436797,0.0055278902485815,86.26666666666667,0.2686712376522016,-0.4093094991417052,-0.47365883915810103,BTC-24OCT25,3.776936949070393,63.983333333333334,0.262914017107054,0.24231483054533268,0.301136280313147,0.2970239799237557,0.29291167953436437
ETH,ethereum-above-3900-on-october-21,3900.0,1761062460,1760751000,0.7119237823688916,3.604861111111111,3874.83,4080.74,5.593484008619317,0.0517765536438682,1,2025-10-21,False,0.42,1760751900.0,0.5629480000000001,0.2733366751716026,0.00017849230924,0.0009983938773959,86.26666666666667,0.2743350690489985,-0.22262920453726395,-0.3235672690300417,ETH-24OCT25,16.668716427526874,63.983333333333334,0.27041963024296556,0.23646368604132081,0.3364033566567026,0.33360661465239294,0.3308098726480833
ETH,ethereum-above-4000-on-october-21,4000.0,1761062460,1760751000,0.6864935351234497,3.604861111111111,3874.83,4080.74,5.160163080139567,0.0517765536438682,1,2025-10-21,False,0.27,1760751900.0,0.716203,0.4490275394700452,0.00017849230924,0.0009210494242295,86.26666666666667,0.4499485888942747,-0.20538236992253378,-0.29850087584366636,ETH-24OCT25,16.668716427526874,63.983333333333334,0.4463364747381774,0.4150110594244655,0.5072085159213685,0.5046284343812987,0.502048352841229
ETH,ethereum-above-3800-on-october-21,3800.0,1761062460,1760751000,0.7417362230291523,3.604861111111111,3874.83,4080.74,5.273575611886794,0.0517765536438682,1,2025-10-21,False,0.58,1760751900.0,0.402948,0.1299004294361479,0.00017849230924,0.0009412926889178,86.26666666666667,0.1308417221250657,-0.20989636186182148,-0.30506147083503227,ETH-24OCT25,16.668716427526874,63.983333333333334,0.12715021919674535,0.09513631892556475,0.18936013520985773,0.18672334740391433,0.18408655959797093
BTC,bitcoin-above-108k-on-october-21,108000.0,1761062460,1760751000,0.4084462311623908,3.604861111111111,107283.61,113359.23,9.662848536782851,0.0550859141716834,1,2025-10-21,False,0.4,1760751900.0,0.5831999999999999,0.0509131548488029,0.0006721165436797,0.0064945603606438,86.26666666666667,0.0574077152094467,-0.4808860394872771,-0.5564882410706602,BTC-24OCT25,3.776936949070393,63.983333333333334,0.05064372123369902,0.026442325314235553,0.09554996653697485,0.09071854226858343,0.085887118000192
ETH,ethereum-above-3800-on-october-23,3800.0,1761235260,1760771700,0.7481385659181004,5.365277777777778,3909.39,3879.04,4.243618292562316,-0.007793651255505,1,2025-10-23,False,0.57,1760772600.0,0.412843,0.4459162810337126,0.000169894975072,0.00072096942403,128.51666666666668,0.4466372504577426,-0.028516309713573596,0.016207762931790354,ETH-24OCT25,-5.905916359010971,15.983333333333333,0.44366671765294863,0.4268011995510267,0.38135615748163276,0.3792343483353516,0.37711253918907045
ETH,ethereum-above-3800-on-october-22,3800.0,1761148860,1760771700,0.7395242093006456,4.365277777777778,3909.39,3841.05,4.700733463720711,-0.0176355848738177,1,2025-10-22,False,0.58,1760772600.0,0.402948,0.4858481839686419,0.0001828619876738,0.0008595854647009,104.51666666666668,0.4867077694333428,0.07055642350067116,0.06506666737608022,ETH-24OCT25,-5.905916359010971,39.983333333333334,0.483417256008738,0.4655837394161766,0.4702139100760666,0.46786354334420627,0.4655131766123459
ETH,ethereum-above-3900-on-october-23,3900.0,1761235260,1760771700,0.7279588766297549,5.365277777777778,3909.39,3879.04,4.519513192729603,-0.007793651255505,0,2025-10-23,False,0.44,1760772600.0,-0.457248,-0.4220244903312112,0.000169894975072,0.0007678425812164,128.51666666666668,-0.4212566477499948,-0.030370271092558833,0.01726149557872485,ETH-24OCT25,-5.905916359010971,15.983333333333333,-0.4244203069849058,-0.44238232107496944,-0.4907819303274696,-0.4930416869238344,-0.49530144352019917
BTC,bitcoin-above-104k-on-october-22,104000.0,1761148860,1760788800,0.4422026506648264,4.167361111111111,107208.6,108407.96,6.969171594885833,0.0111250487443502,1,2025-10-22,False,0.73,1760789700.0,0.256203,0.1786706262991542,0.0005708744071575,0.0039785217026099,99.76666666666668,0.1826491480017641,-0.07582906017651382,-0.07621211633445352,BTC-24OCT25,-8.860081252971147,39.983333333333334,0.17777072788534412,0.1790909852517363,0.17549551970706612,0.1720109339096232,0.16852634811218029
ETH,ethereum-above-3900-on-october-23,3900.0,1761235260,1760858100,0.6926575048677612,4.365277777777778,3886.91,3879.04,5.248832191131553,-0.0020267971578755,0,2025-10-23,False,0.44,1760859000.0,-0.457248,-0.4466096818328489,0.0001471222359273,0.0007722199279665,104.51666666666668,-0.4458374619048824,-0.04235391896162739,0.009189276284386141,ETH-24OCT25,1.286090928401993,15.983333333333333,-0.4495116444386747,-0.45096068632143943,-0.5032761014954195,-0.5059005175909852,-0.508524933686551
