asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf
BTC,bitcoin-above-116k-on-october-13,116000.0,1760371260,1760143500,0.5375354724914667,2.636111111111111,112640.04,114282.32,6.99475526477767,0.0144746306482547,0,2025-10-13,False,0.209,1760145300,-0.209,-0.3102464989325918,0.0004041111536714388,0.0028266586196986744,62.766666666666666,-0.30741984031289316
BTC,bitcoin-above-120k-on-october-13,120000.0,1760371260,1760150700,0.5796978577055665,2.5527777777777776,113172.58,114282.32,3.8501076460333374,0.0097579678923794,0,2025-10-13,False,0.048,1760160600,-0.048,-0.0855692267921979,0.0003745912549255777,0.0014422166547261898,58.516666666666666,-0.08412701013747172
BTC,bitcoin-above-114k-on-october-13,114000.0,1760371260,1760150700,0.5440072814707156,2.5527777777777776,113172.58,114282.32,8.623508635079903,0.0097579678923794,1,2025-10-13,False,0.402,1760152500,0.598,0.5138520796192334,0.00038394179922407543,0.003310925420976929,60.766666666666666,0.5171630050402103
BTC,bitcoin-above-116k-on-october-12,116000.0,1760284860,1760157900,0.5196143728700114,1.4694444444444446,112110.48,113332.43,6.965708110059043,0.0108405446565282,0,2025-10-12,False,0.09,1760166000,-0.09,-0.1655120698314359,0.0002175346056332659,0.0015152825666781358,33.016666666666666,-0.16399678726475778
BTC,bitcoin-above-114k-on-october-12,114000.0,1760284860,1760166900,0.4753948199942157,1.3652777777777778,111397.9,113332.43,9.894209037485744,0.0172168819940278,0,2025-10-12,False,0.127,1760168700,-0.127,-0.2973474294226359,0.0002176823956748881,0.0021537951265880257,32.266666666666666,-0.2951936342960479
BTC,bitcoin-above-112k-on-october-12,112000.0,1760284860,1760166900,0.4708510551116045,1.3652777777777778,111397.9,113332.43,13.574954753849234,0.0172168819940278,1,2025-10-12,False,0.366,1760167800,0.634,0.4002816059287103,0.000217633132327681,0.0029543599242867523,32.516666666666666,0.4032359658529971
XRP,xrp-above-2pt5-on-october-13,2.5,1760371260,1760199300,0.965617330758207,1.9902777777777776,2.4873,2.5858,5.562946313302008,0.0388371530301702,1,2025-10-13,False,0.403,1760220900,0.597,0.3809510027316684,1.3543899094573507e-05,7.53439835358921e-05,41.766666666666666,0.38102634671520424
ETH,ethereum-above-4000-on-october-14,4000.0,1760457660,1760199300,0.7603350099973835,2.990277777777778,3841.8,4074.8,4.780975659231727,0.0588806589630997,1,2025-10-14,False,0.25,1760210100,0.75,0.4684930026978957,-0.00010690124427843565,-0.0005110922468367857,68.76666666666667,0.4679819104510589
SOL,solana-above-170-on-october-16,170.0,1760630460,1760199300,0.9516212948652124,4.990277777777778,184.02,186.75,2.890180178440932,0.0147263766587113,1,2025-10-16,False,0.745,1760211900,0.255,0.2124381180807372,7.495374104995035e-05,0.0002166298166825609,116.26666666666667,0.21265474789741975
XRP,xrp-above-2pt8-on-october-14,2.8,1760457660,1760202000,1.1055542394873965,2.959027777777778,2.4761,2.4906,1.7557867024337983,0.0058389035759909,0,2025-10-14,False,0.05,1760220900,-0.05,-0.060251869255518,2.8827955115550384e-05,5.0615740250241756e-05,65.76666666666667,-0.06020125351526776
