asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf,P0,P1,ev_policy_fill,ev_policy_sig
BTC,bitcoin-above-84k-on-may-17,84000.0,1779033660,1778617800,0.359881571219304,4.813194444444444,80809.99,78075.02,6.103783956527974,-0.0344304371652332,0,2026-05-17,True,0.14,1778621400,-0.14,0.0701559499853954,9.537234127793975e-06,5.821321665887993e-05,114.51666666666668,0.0702141632020542,80649.0,78047.5,0.05592125199150308,0.06594151443248424
ETH,ethereum-above-2400-on-may-16,2400.0,1778947260,1778643900,0.4336057235118897,3.511111111111111,2302.27,2179.01,5.696444302495591,-0.0550249475223961,0,2026-05-16,True,0.15,1778644800,-0.15,0.1634465488090725,0.0002769902408947,0.0015778594795918,84.01666666666667,0.1650244082886643,2302.95,2177.95,0.16549091781079697,0.16103689727691703
SOL,solana-above-100-on-may-17,100.0,1779033660,1778672700,0.6142367184899746,4.177777777777778,94.62,86.46,4.142138444036792,-0.0901869909635163,0,2026-05-17,True,0.15,1778676300,-0.15,0.2235670024219799,0.0011560722723018,0.0047886114031864,99.26666666666668,0.2283556138251664,93.13,86.483,0.158608268402067,0.2254561169143403
SOL,solana-above-100-on-may-18,100.0,1779120060,1778672700,0.6177757670688178,5.177777777777778,94.62,84.12,3.9736413587521393,-0.1176245193685029,0,2026-05-18,True,0.17,1778676300,-0.17,0.2973976549660254,0.0011690897287986,0.0046455432984464,123.26666666666668,0.3020431982644718,93.13,84.181,0.23330955245248197,0.29926164931334515
BTC,bitcoin-above-80k-on-may-16,80000.0,1778947260,1778675400,0.3443786018768145,3.146527777777778,80349.31,78213.57,12.386921784793843,-0.0269403428081122,0,2026-05-16,True,0.53,1778677200,-0.53,-0.1962920807803805,2.701088726288041e-05,0.0003345817478631,75.01666666666667,-0.1959574990325173,80241.5,78192.0,-0.2178432814811609,-0.20462834428187343
ETH,ethereum-above-2300-on-may-19,2300.0,1779206460,1778680800,0.4490447266803464,6.084027777777777,2262.8,2110.45,6.557974954104009,-0.0697017895955524,0,2026-05-19,True,0.35,1778688000,-0.35,0.10710259042386,0.0001284018680863,0.0008420562349702,144.01666666666668,0.1079446466588302,2243.65,2109.05,0.051969741904478346,0.10335406419095745
ETH,ethereum-above-2200-on-may-17,2200.0,1779033660,1778694300,0.44287074936816,3.927777777777778,2257.35,2186.91,7.517007789530274,-0.0317019703342216,0,2026-05-17,True,0.71,1778699700,-0.71,-0.4716960420541983,9.902390184897154e-05,0.0007443634415484,92.76666666666668,-0.4709516786126499,2254.45,2187.25,-0.4870454161806626,-0.4762135840653214
BTC,bitcoin-above-80k-on-may-18,80000.0,1779120060,1778698800,0.3571196815490041,4.875694444444444,79598.15,76324.55,9.567668963533167,-0.0419962086108222,0,2026-05-18,True,0.45,1778700600,-0.45,-0.0481941782881719,-5.609711568606637e-05,-0.0005367186326933,116.51666666666668,-0.0487308969208652,79501.5,76309.0,-0.06510314923986707,-0.055428265195338645
BTC,bitcoin-above-82k-on-may-19,82000.0,1779206460,1778698800,0.355820097893631,5.875694444444444,79598.15,76528.0,7.007604373564543,-0.039334164436285,0,2026-05-19,True,0.23,1778711400,-0.23,0.0456382627342177,-5.68933677183945e-05,-0.0003986862124502,137.51666666666668,0.0452395765217674,79287.0,76513.5,0.01421565401055809,0.040334253460272265
BTC,bitcoin-above-78k-on-may-18,78000.0,1779120060,1778700600,0.3733860187220354,4.854861111111111,79495.94,76324.55,8.483488899024584,-0.0407113084104173,0,2026-05-18,True,0.68,1778707800,-0.68,-0.3346260670354583,-5.629227732536178e-05,-0.0004775549097905,114.51666666666668,-0.3351036219452488,79428.5,76309.0,-0.34651348414195543,-0.34104206417456645
