strat,n,match_rate,ev_perp_sig,t_sig,ev_perp,t_perp,sd_perp,ev_fut,t_fut,sd_fut,ev_fut_hs2p5bp,ev_fut_hs5bp,diff_fut_minus_perp,diff_t,timing_cost,basis_bp_mean,fut_tte_h_mean,corr
taker,266,0.782,0.09962,3.91,0.09534,3.73,0.295,0.10774,4.04,0.3018,0.10464,0.10153,-0.00214,1.97,-0.00237,9.0,78.7,0.9758
maker,3019,0.802,0.01923,2.48,-0.03319,-4.27,0.318,-0.02766,-2.95,0.3383,-0.03232,-0.03698,0.00458,1.22,-0.04996,1.7,84.1,0.9509
